QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MINAPPLY,MINA_PLY,GFTCMIN,GFTCMIN_,MIN_MO,MIN_MO_,MINPURX,MINPURX_,MINRENTX,MINR_NTX,MNAPPL1,MNAPPL1_,MNAPPL2,MNAPPL2_,MNAPPL3,MNAPPL3_,MNAPPL4,MNAPPL4_,MNAPPL5,MNAPPL5_,MNAPPL6,MNAPPL6_,MNAPPL7,MNAPPL7_,MNAPPL8,MNAPPL8_,MNAPPL9,MNAPPL9_,INSTLSCR,INST_SCR,INSTLLEX,INST_LEX,APBPURCH
20241,05286244,1,0,1,240,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286304,1,0,1,230,D,1,D,12,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286304,2,0,1,320,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286334,1,0,1,900,D,3,D,12,D,,H,,A,440,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286334,1,1,1,440,D,3,D,12,D,94,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286334,1,2,1,230,D,3,D,12,D,56,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286334,2,0,1,660,D,3,D,12,D,500,D,,A,,A,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286344,1,0,1,700,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05286344,2,0,1,310,D,1,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286344,3,0,1,480,D,1,D,12,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05286344,4,0,1,480,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05286444,1,0,2,240,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286444,2,0,2,240,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286444,3,0,2,660,D,1,D,10,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286444,4,0,2,480,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286504,1,0,1,480,D,1,D,12,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286514,1,0,1,655,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286544,1,0,1,660,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286634,2,0,1,260,D,1,D,10,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05286704,2,0,2,230,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286734,1,0,2,470,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286784,1,0,1,655,D,1,D,11,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286794,1,0,1,640,D,1,D,11,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286794,2,0,1,650,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286794,3,0,1,350,D,1,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286974,1,0,1,645,D,1,D,11,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05286984,1,0,1,310,D,1,D,11,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05286984,2,0,1,330,D,1,D,11,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20241,05286994,1,0,1,650,D,3,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286994,2,0,1,650,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286994,3,0,2,330,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287054,1,0,1,310,D,1,D,10,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287054,2,0,1,470,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287094,1,0,1,650,D,1,D,12,D,1200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287094,2,0,1,700,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287094,3,0,1,460,D,1,D,11,D,23,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287094,4,0,1,470,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
