QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20241,05286344,5,0,1,380,D,1,D,11,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286374,1,0,1,380,D,1,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286514,2,0,1,120,D,1,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286514,3,0,2,120,D,1,D,10,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286634,3,0,1,460,D,1,D,11,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286734,2,0,1,380,D,1,D,12,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286734,3,0,2,380,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286774,1,0,1,120,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05286774,2,0,1,460,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05287774,1,0,1,380,D,1,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288264,2,0,1,380,D,2,D,12,D,1400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05288544,2,0,1,370,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05289114,2,0,1,380,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05289984,1,0,1,470,D,1,D,12,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05290234,1,0,1,370,D,1,D,12,D,349,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05290254,6,0,1,470,D,1,D,12,D,50,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05290414,7,0,1,120,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05290824,2,0,1,450,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05290824,3,0,2,380,D,1,D,10,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291094,1,0,1,120,D,1,D,12,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291114,3,0,1,380,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1
20241,05291124,4,0,1,380,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291394,4,0,1,120,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291394,5,0,1,380,D,1,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291414,3,0,1,380,D,1,D,12,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291674,2,0,1,470,D,1,D,10,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291694,5,0,1,120,D,1,D,12,D,240,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05291884,1,0,1,460,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292074,2,0,1,380,D,1,D,12,D,1300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292114,3,0,1,380,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292114,4,0,1,380,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292114,5,0,1,470,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292474,1,0,1,450,D,1,D,12,D,32,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292794,5,0,1,380,D,1,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292824,1,0,1,370,D,2,D,10,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292844,1,0,1,380,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05292914,3,0,2,380,D,1,D,10,D,2500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293374,3,0,1,370,D,1,D,12,D,460,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293434,8,0,1,380,D,1,D,11,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293434,9,0,1,380,D,1,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293524,2,0,1,380,D,1,D,12,D,560,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293604,1,0,1,120,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293674,3,0,1,380,D,1,D,11,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293894,2,0,1,370,D,1,D,12,D,6000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05293954,3,0,1,470,D,1,D,12,D,253,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05294084,1,0,1,380,D,1,D,12,D,340,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05294664,2,0,1,120,D,1,D,12,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295474,2,0,1,380,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295474,3,0,1,370,D,2,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,7,0,1,120,D,1,D,10,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,8,0,1,120,D,1,D,11,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,9,0,1,120,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,10,0,1,370,D,1,D,11,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,11,0,1,470,D,1,D,12,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295564,12,0,1,380,D,1,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295584,4,0,1,370,D,1,D,10,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05295634,4,0,2,450,D,1,D,10,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296334,10,0,1,470,D,1,D,12,D,1185,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20241,05296754,6,0,1,460,D,1,D,11,D,56,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
