NEWID,SEQNO,ALCNO,ADLTCLOX,ADLT_LOX,CHLDCLOX,CHLD_LOX,CLOGFTX,CLOGFTX_,QYEAR,REC_STAT
05286244,2,0,200,D,,A,0,D,20241,1
05286294,1,0,0,D,,A,0,D,20241,1
05286304,3,0,100,D,,A,0,D,20241,1
05286334,3,0,200,D,,A,0,D,20241,1
05286344,6,0,400,D,300,D,0,D,20241,1
05286374,2,0,400,D,,A,1000,D,20241,1
05286424,1,0,221,D,,A,543,D,20241,1
05286444,5,0,487,D,,A,0,D,20241,1
05286504,2,0,300,D,,A,0,D,20241,1
05286514,4,0,300,D,200,D,0,D,20241,1
05286544,2,0,0,D,,A,0,D,20241,1
05286634,4,0,95,D,,A,116,D,20241,1
05286694,1,0,0,D,,A,500,D,20241,1
05286704,3,0,300,D,600,D,0,D,20241,1
05286734,4,0,800,D,,A,100,D,20241,1
05286774,3,0,400,D,500,D,0,D,20241,1
05286784,2,0,50,D,,A,300,D,20241,1
05286794,4,0,250,D,250,D,150,D,20241,1
05286814,1,0,150,D,,A,30,D,20241,1
05286894,1,0,500,D,0,D,300,D,20241,1
05286904,2,0,0,D,,A,1000,D,20241,1
05286974,2,0,229,D,,A,0,D,20241,1
05286984,3,0,80,D,,A,300,D,20241,1
05286994,4,0,0,D,,A,0,D,20241,1
05287004,1,0,600,D,,A,75,D,20241,1
05287024,1,0,400,D,,A,400,D,20241,1
05287044,1,0,100,D,,A,0,D,20241,1
05287054,3,0,200,D,,A,300,D,20241,1
05287094,5,0,100,D,300,D,0,D,20241,1
05287114,3,0,250,D,50,D,0,D,20241,1
05287124,1,0,50,D,400,D,0,D,20241,1
05287144,4,0,100,D,,A,60,D,20241,1
05287174,1,0,150,D,,A,0,D,20241,1
05287204,2,0,200,D,150,D,0,D,20241,1
05287224,1,0,50,D,,A,0,D,20241,1
05287294,1,0,0,D,,A,0,D,20241,1
05287314,3,0,50,D,,A,0,D,20241,1
05287354,2,0,0,D,,A,2000,D,20241,1
05287364,1,0,400,D,,A,0,D,20241,1
05287414,9,0,126,D,,A,0,D,20241,1
05287424,2,0,100,D,,A,0,D,20241,1
05287524,4,0,300,D,100,D,0,D,20241,1
05287554,1,0,0,D,,A,0,D,20241,1
05287574,2,0,150,D,,A,0,D,20241,1
05287614,1,0,0,D,,A,0,D,20241,1
05287664,3,0,0,D,,A,0,D,20241,1
05287684,1,0,0,D,0,D,0,D,20241,1
05287714,1,0,500,D,,A,100,D,20241,1
05287754,1,0,0,D,,A,0,D,20241,1
05287774,2,0,50,D,,A,250,D,20241,1
05287784,1,0,120,D,50,D,0,D,20241,1
05287804,2,0,400,D,,A,0,D,20241,1
05287834,1,0,300,D,,A,0,D,20241,1
05287874,4,0,400,D,100,D,200,D,20241,1
05287894,3,0,225,D,,A,50,D,20241,1
05287944,1,0,35,D,,A,0,D,20241,1
05287954,1,0,250,D,,A,300,D,20241,1
05287994,2,0,0,D,,A,0,D,20241,1
05288104,1,0,0,D,,A,0,D,20241,1
05288114,1,0,200,D,600,D,0,D,20241,1
05288124,3,0,159,D,,A,285,D,20241,1
05288174,1,0,75,D,,A,0,D,20241,1
05288184,1,0,100,D,500,D,0,D,20241,1
05288214,3,0,31,D,,A,50,D,20241,1
05288254,1,0,0,D,,A,900,D,20241,1
05288264,3,0,1500,D,500,D,0,D,20241,1
05288324,4,0,0,D,,A,0,D,20241,1
05288334,5,0,400,D,,A,0,D,20241,1
05288354,3,0,20,D,,A,125,D,20241,1
05288404,1,0,150,D,,A,100,D,20241,1
05288494,2,0,300,D,200,D,0,D,20241,1
05288544,3,0,1000,D,1000,D,500,D,20241,1
05288564,1,0,120,D,100,D,0,D,20241,1
05288604,1,0,0,D,,A,0,D,20241,1
05288624,2,0,0,D,,A,20,D,20241,1
05288664,2,0,50,D,100,D,0,D,20241,1
05288674,1,0,0,D,0,D,0,D,20241,1
05288694,1,0,200,D,,A,0,D,20241,1
05288704,2,0,38,D,,A,2204,D,20241,1
05288714,2,0,0,D,,A,0,D,20241,1
05288744,3,0,100,D,200,D,0,D,20241,1
05288764,2,0,80,D,,A,0,D,20241,1
05288854,1,0,221,D,,A,0,D,20241,1
05288864,1,0,250,D,,A,200,D,20241,1
05288884,2,0,850,D,,A,0,D,20241,1
05288894,2,0,200,D,400,D,0,D,20241,1
05288944,2,0,200,D,900,D,750,D,20241,1
05288954,3,0,600,D,,A,0,D,20241,1
05289004,1,0,0,D,,A,0,D,20241,1
05289024,1,0,0,D,,A,0,D,20241,1
05289044,1,0,110,D,,A,0,D,20241,1
05289064,1,0,0,D,,A,0,D,20241,1
05289074,1,0,150,D,,A,220,D,20241,1
05289114,3,0,50,D,400,D,0,D,20241,1
05289124,5,0,300,D,300,D,0,D,20241,1
05289154,1,0,200,D,100,D,150,D,20241,1
05289204,1,0,0,D,200,D,0,D,20241,1
05289214,1,0,250,F,,A,0,D,20241,1
05289224,1,0,0,D,100,D,0,D,20241,1
05289264,1,0,75,D,,A,0,D,20241,1
05289334,2,0,0,D,,A,0,D,20241,1
05289444,2,0,200,D,,A,0,D,20241,1
05289464,1,0,250,D,325,D,0,D,20241,1
05289474,1,0,0,D,,A,0,D,20241,1
05289494,9,0,100,D,,A,50,D,20241,1
05289564,2,0,150,D,,A,200,D,20241,1
05289574,2,0,130,D,,A,0,D,20241,1
05289684,1,0,200,D,,A,0,D,20241,1
05289694,1,0,225,D,,A,0,D,20241,1
05289734,1,0,0,D,,A,0,D,20241,1
05289764,1,0,50,D,200,D,0,D,20241,1
05289774,6,0,300,D,300,D,100,D,20241,1
05289854,1,0,80,D,,A,0,D,20241,1
05289864,2,0,0,D,,A,0,D,20241,1
05289894,4,0,400,D,,A,200,D,20241,1
05289904,1,0,200,D,,A,0,D,20241,1
05289984,2,0,100,D,,A,100,D,20241,1
05290044,1,0,300,D,,A,0,D,20241,1
05290054,2,0,80,D,50,D,0,D,20241,1
05290094,1,0,800,D,,A,0,D,20241,1
05290104,1,0,50,D,,A,0,D,20241,1
05290144,1,0,0,D,,A,0,D,20241,1
05290184,1,0,450,D,,A,100,D,20241,1
05290194,4,0,700,D,0,D,0,D,20241,1
05290234,2,0,0,D,,A,0,D,20241,1
05290244,3,0,431,D,,A,200,D,20241,1
05290254,7,0,1000,D,,A,2000,D,20241,1
05290264,2,0,0,D,150,D,300,D,20241,1
05290304,1,0,100,D,,A,0,D,20241,1
05290384,2,0,0,D,,A,0,D,20241,1
05290414,8,0,700,D,280,D,0,D,20241,1
05290424,2,0,700,D,680,D,700,D,20241,1
05290444,1,0,100,D,,A,500,D,20241,1
05290504,1,0,50,D,,A,200,D,20241,1
05290514,2,0,138,D,,A,588,D,20241,1
05290524,1,0,0,D,,A,0,D,20241,1
05290534,6,0,10,D,,A,6,D,20241,1
05290544,1,0,600,D,,A,300,D,20241,1
05290554,2,0,300,D,0,D,0,D,20241,1
05290624,4,0,0,D,300,D,0,D,20241,1
05290644,1,0,250,D,,A,0,D,20241,1
05290704,3,0,247,D,393,D,0,D,20241,1
05290714,1,0,12,D,,A,0,D,20241,1
05290734,3,0,0,D,20,D,0,D,20241,1
05290754,1,0,150,D,,A,0,D,20241,1
05290764,6,0,320,D,110,D,65,D,20241,1
05290784,1,0,0,D,,A,200,D,20241,1
05290804,1,0,100,D,,A,0,D,20241,1
05290824,4,0,0,D,,A,100,D,20241,1
05290884,1,0,250,D,,A,0,D,20241,1
05290914,5,0,90,D,300,D,0,D,20241,1
05290924,2,0,500,D,,A,0,D,20241,1
05290964,1,0,360,D,,A,0,D,20241,1
05290984,1,0,100,D,,A,70,D,20241,1
05290994,1,0,0,D,,A,610,D,20241,1
05291004,3,0,200,D,,A,500,D,20241,1
05291014,2,0,0,D,,A,0,D,20241,1
05291044,4,0,1000,D,200,D,400,D,20241,1
05291074,3,0,1000,D,500,D,0,D,20241,1
05291084,1,0,0,D,,A,200,D,20241,1
05291094,2,0,1250,D,0,D,0,D,20241,1
05291114,4,0,100,D,400,D,400,D,20241,1
05291124,5,0,25,D,,A,0,D,20241,1
05291154,2,0,1200,D,,A,700,D,20241,1
05291184,1,0,386,D,169,D,1384,D,20241,1
05291214,1,0,0,D,,A,0,D,20241,1
05291274,1,0,0,D,100,D,0,D,20241,1
05291294,1,0,0,D,,A,2500,D,20241,1
05291324,3,0,1000,D,,A,0,D,20241,1
05291394,6,0,50,D,,A,0,D,20241,1
05291414,4,0,252,D,316,D,0,D,20241,1
05291424,3,0,200,D,,A,1000,D,20241,1
05291434,1,0,150,D,400,D,0,D,20241,1
05291484,2,0,0,D,,A,0,D,20241,1
05291494,5,0,0,D,1250,D,50,D,20241,1
05291534,1,0,400,D,1500,D,200,D,20241,1
05291544,3,0,800,D,600,D,0,D,20241,1
05291584,1,0,700,D,,A,400,D,20241,1
05291664,1,0,300,D,200,D,0,D,20241,1
05291674,3,0,400,D,63,D,90,D,20241,1
05291694,6,0,600,D,450,D,300,D,20241,1
05291714,4,0,40,D,80,D,0,D,20241,1
05291754,2,0,0,D,,A,0,D,20241,1
05291764,1,0,150,D,,A,200,D,20241,1
05291774,2,0,400,D,,A,500,D,20241,1
05291814,1,0,200,D,,A,155,D,20241,1
05291824,1,0,40,D,,A,0,D,20241,1
05291884,2,0,400,D,,A,0,D,20241,1
05291894,1,0,250,D,,A,0,D,20241,1
05291914,3,0,250,D,,A,450,D,20241,1
05291924,3,0,250,D,,A,0,D,20241,1
05291974,2,0,300,D,,A,0,D,20241,1
05292004,1,0,0,D,,A,0,D,20241,1
05292074,3,0,300,D,,A,0,D,20241,1
05292084,3,0,75,D,,A,0,D,20241,1
05292094,3,0,750,D,,A,100,D,20241,1
05292114,6,0,300,D,,A,0,D,20241,1
05292144,2,0,300,D,250,D,0,D,20241,1
05292184,1,0,0,D,,A,40,D,20241,1
05292234,1,0,200,D,300,D,0,D,20241,1
05292254,1,0,0,D,,A,0,D,20241,1
05292274,2,0,150,D,,A,0,D,20241,1
05292294,1,0,30,D,,A,0,D,20241,1
05292314,1,0,0,D,,A,0,D,20241,1
05292384,3,0,500,D,200,D,150,D,20241,1
05292434,1,0,200,D,,A,0,D,20241,1
05292444,1,0,0,D,,A,0,D,20241,1
05292454,2,0,0,D,,A,0,D,20241,1
05292474,2,0,1000,D,,A,0,D,20241,1
05292494,2,0,0,D,,A,0,D,20241,1
05292514,5,0,600,D,200,D,200,D,20241,1
05292544,9,0,400,D,,A,0,D,20241,1
05292644,2,0,39,D,,A,0,D,20241,1
05292674,1,0,0,D,,A,0,D,20241,1
05292684,1,0,100,F,500,D,150,D,20241,1
05292794,6,0,450,D,0,D,0,D,20241,1
05292824,2,0,80,D,,A,750,D,20241,1
05292834,1,0,400,D,,A,0,D,20241,1
05292844,2,0,1500,D,,A,0,D,20241,1
05292854,1,0,0,D,,A,0,D,20241,1
05292894,1,0,0,D,,A,400,D,20241,1
05292914,4,0,0,D,200,D,0,D,20241,1
05292934,2,0,100,D,,A,0,D,20241,1
05292954,3,0,100,D,,A,120,D,20241,1
05292984,1,0,0,D,,A,0,D,20241,1
05292994,1,0,100,D,,A,0,D,20241,1
05293014,4,0,300,D,300,D,0,D,20241,1
05293074,1,0,200,D,,A,0,D,20241,1
05293084,1,0,250,D,,A,40,D,20241,1
05293184,1,0,0,D,,A,30,D,20241,1
05293254,1,0,600,D,,A,0,D,20241,1
05293274,2,0,200,D,,A,500,D,20241,1
05293324,1,0,100,D,100,D,100,D,20241,1
05293344,1,0,0,D,,A,0,D,20241,1
05293374,4,0,300,D,300,D,0,D,20241,1
05293424,1,0,100,D,,A,0,D,20241,1
05293434,10,0,0,D,,A,0,D,20241,1
05293524,3,0,400,D,,A,300,D,20241,1
05293534,1,0,0,D,0,D,0,D,20241,1
05293554,1,0,0,D,,A,0,D,20241,1
05293574,2,0,0,D,,A,0,D,20241,1
05293594,4,0,200,D,300,D,0,D,20241,1
05293604,2,0,175,D,,A,100,D,20241,1
05293634,1,0,400,D,,A,10,D,20241,1
05293644,3,0,0,D,,A,0,D,20241,1
05293674,4,0,250,D,,A,200,D,20241,1
05293684,1,0,65,D,,A,50,D,20241,1
05293694,4,0,364,D,,A,0,D,20241,1
05293774,1,0,200,D,,A,50,D,20241,1
05293784,2,0,400,D,,A,600,D,20241,1
05293824,1,0,800,D,,A,100,D,20241,1
05293844,5,0,250,F,,A,0,D,20241,1
05293854,5,0,200,D,,A,200,D,20241,1
05293874,1,0,17,D,,A,0,D,20241,1
05293894,3,0,100,D,,A,100,D,20241,1
05293954,4,0,142,D,,A,150,D,20241,1
05293984,8,0,250,D,500,D,150,D,20241,1
05294024,1,0,150,D,,A,200,D,20241,1
05294074,6,0,1000,D,,A,0,D,20241,1
05294084,2,0,230,D,,A,0,D,20241,1
05294114,1,0,0,D,,A,0,D,20241,1
05294124,2,0,100,D,,A,0,D,20241,1
05294164,1,0,0,D,,A,0,D,20241,1
05294214,1,0,100,D,,A,0,D,20241,1
05294254,6,0,140,D,50,D,40,D,20241,1
05294284,1,0,300,D,,A,0,D,20241,1
05294314,2,0,300,D,,A,500,D,20241,1
05294394,1,0,100,D,,A,25,D,20241,1
05294434,1,0,0,D,,A,0,D,20241,1
05294474,1,0,450,D,200,D,0,D,20241,1
05294484,1,0,0,D,,A,0,D,20241,1
05294504,1,0,0,D,,A,0,D,20241,1
05294514,1,0,50,D,,A,0,D,20241,1
05294544,2,0,200,D,,A,150,D,20241,1
05294564,1,0,150,D,,A,0,D,20241,1
05294594,1,0,100,D,300,D,700,D,20241,1
05294664,3,0,60,D,,A,0,D,20241,1
05294694,2,0,0,D,,A,40,D,20241,1
05294704,1,0,200,D,,A,500,D,20241,1
05294774,2,0,50,D,,A,75,D,20241,1
05294794,1,0,610,F,,A,1000,F,20241,1
05294834,1,0,0,D,,A,0,D,20241,1
05294844,2,0,180,D,40,D,320,D,20241,1
05294854,5,0,358,D,,A,0,D,20241,1
05294864,5,0,600,D,450,D,25,D,20241,1
05294924,4,0,1200,D,1000,D,600,D,20241,1
05294944,2,0,600,D,150,D,100,D,20241,1
05294994,1,0,60,D,,A,0,D,20241,1
05295014,1,0,0,D,,A,300,D,20241,1
05295034,1,0,0,D,150,D,0,D,20241,1
05295104,5,0,180,D,,A,0,D,20241,1
05295134,2,0,0,D,,A,200,D,20241,1
05295204,2,0,100,D,,A,60,D,20241,1
05295214,2,0,200,D,,A,300,D,20241,1
05295234,1,0,100,D,,A,100,D,20241,1
05295254,1,0,0,D,,A,0,D,20241,1
05295344,1,0,83,D,,A,0,D,20241,1
05295384,1,0,0,D,,A,0,D,20241,1
05295414,12,0,120,D,25,D,70,D,20241,1
05295474,4,0,250,D,250,D,100,D,20241,1
05295484,1,0,50,D,,A,0,D,20241,1
05295514,1,0,200,D,,A,0,D,20241,1
05295534,4,0,400,D,200,D,120,D,20241,1
05295554,2,0,70,D,,A,0,D,20241,1
05295564,13,0,1350,D,,A,100,D,20241,1
05295584,5,0,0,D,,A,0,D,20241,1
05295624,1,0,0,D,,A,0,D,20241,1
05295634,5,0,0,D,0,D,0,D,20241,1
05295644,1,0,200,D,100,D,0,D,20241,1
05295734,3,0,200,D,,A,800,D,20241,1
05295744,1,0,80,D,60,D,15,D,20241,1
05295754,1,0,0,D,200,D,0,D,20241,1
05295774,5,0,15,D,,A,0,D,20241,1
05295834,3,0,200,D,,A,200,D,20241,1
05295894,1,0,50,D,,A,0,D,20241,1
05295924,1,0,0,D,,A,1000,D,20241,1
05295964,1,0,0,D,0,D,0,D,20241,1
05295974,2,0,2150,D,,A,500,D,20241,1
05295984,1,0,100,D,,A,0,D,20241,1
05295994,1,0,450,D,100,D,0,D,20241,1
05296064,3,0,100,D,,A,20,D,20241,1
05296104,1,0,1000,D,200,D,500,D,20241,1
05296214,1,0,0,D,800,D,0,D,20241,1
05296254,3,0,225,D,,A,850,D,20241,1
05296264,2,0,225,D,,A,0,D,20241,1
05296274,1,0,100,D,,A,0,D,20241,1
05296314,1,0,300,D,300,D,0,D,20241,1
05296324,1,0,300,D,,A,0,D,20241,1
05296334,11,0,600,D,600,D,0,D,20241,1
05296384,1,0,550,D,,A,0,D,20241,1
05296394,1,0,120,D,,A,0,D,20241,1
05296414,1,0,150,D,,A,0,D,20241,1
05296424,4,0,280,D,,A,0,D,20241,1
05296524,1,0,98,D,,A,0,D,20241,1
05296584,3,0,250,D,400,D,150,D,20241,1
05296634,2,0,100,F,,A,600,D,20241,1
05296644,7,0,500,D,250,D,0,D,20241,1
05296684,1,0,300,D,,A,0,D,20241,1
05296724,2,0,400,D,,A,0,D,20241,1
05296734,3,0,192,D,,A,0,D,20241,1
05296754,7,0,250,D,,A,10,D,20241,1
05296764,1,0,435,D,92,D,255,D,20241,1
05296774,3,0,400,D,500,D,0,D,20241,1
05296804,3,0,0,D,,A,0,D,20241,1
05296814,9,0,220,D,320,D,200,D,20241,1
05296834,1,0,25,D,150,D,0,D,20241,1
05296844,1,0,93,D,200,D,25,D,20241,1
05296894,15,0,600,D,292,D,595,D,20241,1
05296904,1,0,200,D,400,D,400,D,20241,1
05296934,1,0,0,D,,A,0,D,20241,1
05296944,7,0,1300,D,400,D,0,D,20241,1
05296964,1,0,0,D,,A,1100,D,20241,1
05296984,1,0,0,D,,A,0,D,20241,1
05296994,1,0,50,D,,A,0,D,20241,1
05297024,4,0,450,D,150,D,0,D,20241,1
05297124,1,0,0,D,,A,0,D,20241,1
05297134,1,0,0,D,0,D,0,D,20241,1
05297164,1,0,250,D,,A,300,D,20241,1
05297184,3,0,500,D,150,D,100,D,20241,1
05297274,1,0,240,D,,A,0,D,20241,1
05297344,3,0,96,F,300,F,45,F,20241,1
05297364,2,0,0,D,,A,400,D,20241,1
05297374,2,0,1500,D,,A,520,D,20241,1
05297394,3,0,200,D,,A,700,D,20241,1
05297404,3,0,250,D,500,D,0,D,20241,1
05297444,1,0,100,D,20,D,0,D,20241,1
05297504,1,0,200,D,300,D,0,D,20241,1
05297544,4,0,0,D,,A,0,D,20241,1
05297594,3,0,400,D,,A,0,D,20241,1
05297604,1,0,0,D,,A,0,D,20241,1
05297614,1,0,0,D,,A,0,D,20241,1
05297644,1,0,300,D,,A,0,D,20241,1
05297654,3,0,250,D,,A,150,D,20241,1
05343734,1,0,75,D,,A,0,D,20241,1
05343864,3,0,150,D,,A,300,D,20241,1
05343894,1,0,100,D,250,D,0,D,20241,1
05343904,1,0,0,D,,A,0,D,20241,1
05343924,2,0,120,D,,A,0,D,20241,1
05343964,2,0,400,D,,A,600,D,20241,1
05344034,2,0,0,D,,A,0,D,20241,1
05344084,2,0,700,D,,A,120,D,20241,1
05344114,2,0,0,D,,A,200,D,20241,1
05344144,1,0,350,D,,A,0,D,20241,1
05344164,1,0,200,D,,A,0,D,20241,1
05344234,5,0,700,D,,A,0,D,20241,1
05344244,2,0,600,D,,A,150,D,20241,1
05344274,2,0,50,D,,A,0,D,20241,1
05344324,3,0,300,D,250,D,70,D,20241,1
05344334,1,0,0,D,,A,0,D,20241,1
05344354,1,0,800,D,400,D,0,D,20241,1
05344364,2,0,300,D,,A,0,D,20241,1
05344424,1,0,0,D,,A,0,D,20241,1
05344444,2,0,100,D,,A,0,D,20241,1
05344514,2,0,1000,D,,A,0,D,20241,1
05344524,1,0,300,D,,A,0,D,20241,1
05344544,1,0,0,D,20,D,0,D,20241,1
05344564,3,0,800,D,700,D,1700,D,20241,1
05344624,1,0,0,D,,A,0,D,20241,1
05344634,1,0,0,D,,A,1200,D,20241,1
05344664,1,0,0,D,,A,0,D,20241,1
05344704,1,0,200,D,,A,0,D,20241,1
05344714,1,0,50,D,,A,0,D,20241,1
05344724,4,0,0,D,0,D,0,D,20241,1
05344744,9,0,140,D,,A,0,D,20241,1
05344764,1,0,0,D,,A,0,D,20241,1
05344774,2,0,0,D,,A,0,D,20241,1
05344794,1,0,0,D,,A,0,D,20241,1
05344834,5,0,3000,D,500,D,0,D,20241,1
