QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20241,05286244,3,0,1,170,D,12,D,600,D
20241,05286294,2,0,1,160,D,11,D,200,D
20241,05286294,3,0,1,160,D,12,D,1000,D
20241,05286334,4,0,1,160,D,12,D,100,D
20241,05286344,7,0,1,150,D,13,D,280,D
20241,05286374,3,0,1,150,D,13,D,200,D
20241,05286374,4,0,1,160,D,13,D,20,D
20241,05286374,5,0,1,160,D,13,D,6,D
20241,05286424,2,0,1,170,D,12,D,1000,D
20241,05286424,3,0,1,160,D,10,D,300,D
20241,05286444,6,0,1,170,D,12,D,5353,D
20241,05286444,7,0,1,170,D,12,D,495,D
20241,05286444,8,0,1,160,D,12,D,401,D
20241,05286504,3,0,1,170,D,12,D,12,D
20241,05286514,5,0,1,160,D,13,D,40,D
20241,05286544,3,0,1,170,D,10,D,20,D
20241,05286544,4,0,1,170,D,12,D,25,D
20241,05286544,5,0,1,160,D,12,D,1,D
20241,05286544,6,0,2,170,D,10,D,10,D
20241,05286634,5,0,1,170,D,13,D,17,D
20241,05286634,6,0,1,150,D,13,D,35,D
20241,05286694,2,0,1,170,D,11,D,520,D
20241,05286694,3,0,1,170,D,12,D,60,D
20241,05286694,4,0,1,160,D,10,D,169,D
20241,05286694,5,0,1,160,D,12,D,50,D
20241,05286704,4,0,1,170,D,12,D,115,D
20241,05286734,5,0,1,170,D,10,D,200,D
20241,05286734,6,0,1,170,D,12,D,2500,D
20241,05286734,7,0,1,170,D,12,D,1000,D
20241,05286734,8,0,1,180,D,12,D,10000,D
20241,05286774,4,0,1,160,D,13,D,200,D
20241,05286784,3,0,1,170,D,12,D,50,D
20241,05286784,4,0,1,160,D,11,D,100,D
20241,05286794,5,0,1,170,D,12,D,200,D
20241,05286794,6,0,1,160,D,12,D,600,D
20241,05286904,3,0,1,160,D,13,D,240,D
20241,05286974,3,0,1,170,D,12,D,388,D
20241,05286984,4,0,1,150,D,13,D,100,D
20241,05286984,5,0,1,160,D,10,D,70,D
20241,05287004,2,0,1,170,D,12,D,1000,D
20241,05287004,3,0,1,160,D,10,D,40,D
20241,05287024,2,0,1,150,D,13,D,100,D
20241,05287054,4,0,1,170,D,12,D,150,D
20241,05287054,5,0,1,150,D,11,D,50,D
20241,05287094,6,0,1,160,D,13,D,40,D
20241,05287114,4,0,1,170,D,12,D,175,D
20241,05287114,5,0,1,160,D,12,D,25,D
20241,05287124,2,0,1,170,D,12,D,125,D
20241,05287174,2,0,1,170,D,12,D,100,D
20241,05287354,3,0,1,160,D,11,D,31209,T
20241,05287524,5,0,1,110,D,13,D,750,D
20241,05287554,2,0,1,150,D,13,D,50,D
20241,05287614,2,0,1,160,D,12,D,100,D
20241,05287714,2,0,1,160,D,13,D,40,D
20241,05287774,3,0,1,150,D,12,D,1000,D
20241,05287774,4,0,1,160,D,12,D,300,D
20241,05287774,5,0,2,160,D,10,D,200,D
20241,05287894,4,0,1,150,D,12,D,175,D
20241,05287954,2,0,1,170,D,12,D,60,D
20241,05287994,3,0,1,150,D,13,D,176,D
20241,05288104,2,0,1,170,D,12,D,300,D
20241,05288114,2,0,1,170,D,11,D,1000,D
20241,05288114,3,0,1,150,D,13,D,200,D
20241,05288174,2,0,1,170,D,12,D,150,D
20241,05288174,3,0,1,110,D,13,D,250,D
20241,05288214,4,0,1,130,D,12,D,31209,T
20241,05288214,5,0,1,150,D,12,D,31209,T
20241,05288264,4,0,1,150,D,13,D,250,D
20241,05288324,5,0,1,150,D,13,D,200,D
20241,05288354,4,0,1,170,D,12,D,1200,D
20241,05288354,5,0,1,170,D,12,D,500,D
20241,05288354,6,0,1,160,D,13,D,75,D
20241,05288354,7,0,1,150,D,13,D,100,D
20241,05288354,8,0,1,140,D,10,D,200,D
20241,05288354,9,0,1,160,D,11,D,25,D
20241,05288354,10,0,1,160,D,11,D,20,D
20241,05288404,2,0,1,160,D,10,D,50,D
20241,05288404,3,0,1,160,D,12,D,50,D
20241,05288604,2,0,1,170,D,12,D,400,D
20241,05288604,3,0,1,160,D,10,D,100,D
20241,05288604,4,0,1,150,D,13,D,10,D
20241,05288604,5,0,2,170,D,10,D,100,D
20241,05288664,3,0,1,160,D,13,D,19,D
20241,05288694,2,0,1,170,D,12,D,400,D
20241,05288694,3,0,1,110,D,13,D,480,D
20241,05288704,3,0,1,150,D,13,D,1683,D
20241,05288714,3,0,1,160,D,12,D,300,D
20241,05288854,2,0,1,150,D,13,D,125,D
20241,05288884,3,0,1,150,D,10,D,1000,D
20241,05288884,4,0,1,150,D,11,D,1820,D
20241,05288884,5,0,1,150,D,12,D,700,D
20241,05288894,3,0,1,150,D,12,D,100,D
20241,05288944,3,0,1,150,D,13,D,200,D
20241,05288954,4,0,1,150,D,13,D,100,D
20241,05289024,2,0,1,170,D,12,D,35,D
20241,05289024,3,0,1,160,D,11,D,5,D
20241,05289024,4,0,2,170,D,10,D,10,D
20241,05289044,2,0,1,160,D,12,D,3000,D
20241,05289044,3,0,1,150,D,12,D,1000,D
