QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_,SUPTOOLX,SUPT_OLX
20241,05286444,9,0,1,,A,,A,504,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287314,4,0,1,175,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289024,5,0,1,200,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290244,5,0,1,,A,,A,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290824,5,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290914,7,0,1,200,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291774,4,0,1,300,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292544,12,0,1,130,D,31,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05293574,3,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05294254,9,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295214,5,0,1,200,D,89,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295624,3,0,1,235,D,2400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295834,7,0,1,140,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05297594,4,0,1,,A,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05347464,6,0,1,300,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05347664,6,0,1,300,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05348184,4,0,1,175,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05352174,6,0,1,300,D,195,D,95,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05352284,8,0,1,,A,,A,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
