QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEB,CRMC_DEB,CRMPROPI,CRMP_OPI,CRMTYPE,CRMTYPE_,APPCDE1,APPCDE1_,APPCDE2,APPCDE2_,APPCDE3,APPCDE3_,APPCDE4,APPCDE4_,APPCDE5,APPCDE5_,APPCDE6,APPCDE6_,REIMBRSZ,REIM_RSZ,CRMBSNSZ,CRMB_NSZ,QADEQPX1,QADE_PX1,QADEQPX2,QADE_PX2,QADEQPX3,QADE_PX3,QADEQPX4,QADE_PX4,QADEQPX5,QADE_PX5,QADEQPX6,QADE_PX6,CRMPTYPE,CRMP_YPE,CRMCODE,CRMCODE_,CRMCDB1,CRMCDB1_,CRMCDB2,CRMCDB2_,CRMCDB3,CRMCDB3_,CRMCDB4,CRMCDB4_,CRMCDB5,CRMCDB5_,CRMCDB6,CRMCDB6_,CRMCDB7,CRMCDB7_,CRMCDB8,CRMCDB8_,CRMCDB9,CRMCDB9_,CONTRACT,CONT_ACT,APPL_X,APPL_X_,CONT0M01,CONT0M02,CONT0M03,CONT0M04,CONT_M01,CONT_M02,CONT_M03,CONT_M04,QADEQPX,QADEQPX_,SUPPLYM1,SUPPLYM2,SUPPLYM3,SUPPLYM4,SUPP_YM1,SUPP_YM2,SUPP_YM3,SUPP_YM4,TOOL0M01,TOOL0M02,TOOL0M03,TOOL0M04,TOOL_M01,TOOL_M02,TOOL_M03,TOOL_M04,QADLABX,QADLABX_,QADPSPTX,QADP_PTX,QADTLRX,QADTLRX_
20241,05286304,4,0,1,270,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,507,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,3000,D,,A
20241,05286634,7,0,1,130,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,211,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A,D,A,A,A,10,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,225,D,0,D,,A
20241,05286634,8,0,1,150,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,303,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,8,D,,A
20241,05286634,9,0,1,130,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,211,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A,D,A,A,A,10,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,150,D,195,D,,A
20241,05286634,10,0,1,210,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,406,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,4,D,,A
20241,05286634,11,0,1,300,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,499,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,9,D,,A
20241,05286634,12,0,1,300,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,499,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,9,D,,A
20241,05286634,13,0,1,190,D,01,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,499,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,83,D,,A
20241,05286634,14,0,2,130,D,01,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,218,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,,A,D,A,A,A,10,A,A,A,,A,,,,,A,A,A,A,A,A,A,A,A,A,A,A,1875,D,,A,,A
20241,05286634,15,0,2,160,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D,509,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,A,A,A,A,A,A,A,A,,A,10,,,,D,A,A,A,A,A,A,A,A,A,A,A,,A,11,D,,A
