QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20241,05286294,4,0,1,190,D,13,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286444,10,0,1,190,D,10,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286514,6,0,1,190,D,12,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286514,7,0,2,190,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286694,9,0,1,200,D,10,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286704,5,0,2,200,D,10,D,321,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287094,7,0,1,120,D,11,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287314,6,0,1,200,D,10,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287354,4,0,1,190,D,13,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287614,3,0,2,200,D,10,D,159,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287804,3,0,1,190,D,11,D,68,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287834,3,0,1,190,D,12,D,86,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05288544,4,0,1,190,D,13,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289064,7,0,1,190,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05289864,4,0,1,150,D,12,D,375,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290044,4,0,1,190,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290254,10,0,1,190,D,13,D,93,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290264,4,0,1,190,D,13,D,57,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,10,0,1,190,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,11,0,1,130,D,13,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290414,12,0,1,220,D,13,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290534,13,0,1,110,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290534,14,0,1,160,D,12,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290914,8,0,2,130,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05290924,5,0,1,200,D,10,D,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05291184,8,0,1,190,D,10,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292114,9,0,1,190,D,13,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292114,10,0,1,190,D,12,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292474,3,0,1,190,D,10,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292514,7,0,1,190,D,12,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292824,3,0,1,200,D,10,D,128,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292934,5,0,1,200,D,12,D,59,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292954,9,0,1,190,D,10,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05292954,10,0,1,200,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293554,8,0,1,200,D,13,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293674,5,0,1,190,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293674,6,0,1,190,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293694,8,0,1,220,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293774,3,0,1,200,D,13,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293784,6,0,1,190,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293854,6,0,1,200,D,10,D,290,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293874,9,0,1,190,D,10,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293874,10,0,1,190,D,11,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05293874,11,0,1,190,D,12,D,93,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
