QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CGTEXPW,CGTEXPW_,OTOBQ,OTOBQ_,JFDBAWQV,JFDB_WQV,JALCHMQV,JALC_MQV,JGREXPQV,JGRE_PQV,JCGEXPQV,JCGE_PQV,JOTOBQV,JOTOBQV_,JFDGFTQV,JFDG_TQV,CGTPURCH,OTBPURCH
20241,05286244,4,0,1,2,D,2,D,0,D,260,D,325,D,,A,,A,0,D,,
20241,05286294,5,0,1,2,D,2,D,546,D,780,D,1300,D,,A,,A,0,D,,
20241,05286304,5,0,1,2,D,2,D,130,D,0,D,1300,D,,A,,A,0,D,,
20241,05286334,5,0,1,2,D,2,D,0,D,0,D,1300,D,,A,,A,0,D,,
20241,05286344,8,0,1,2,D,2,D,1300,D,0,D,3380,D,,A,,A,0,D,,
20241,05286374,6,0,1,1,D,2,D,975,D,0,D,975,D,455,D,,A,100,D,,
20241,05286424,4,0,1,2,D,2,D,884,D,260,D,2171,D,,A,,A,0,D,,
20241,05286444,11,0,1,2,D,2,D,403,D,0,D,2691,D,,A,,A,365,D,,
20241,05286504,4,0,1,2,D,2,D,650,D,260,D,975,D,,A,,A,0,D,,
20241,05286514,8,0,1,2,D,2,D,2600,D,0,D,4875,D,,A,,A,0,D,,
20241,05286544,7,0,1,2,D,2,D,130,D,0,D,156,D,,A,,A,0,D,,
20241,05286634,17,0,1,2,D,2,D,182,D,65,D,1300,D,,A,,A,0,D,,
20241,05286694,10,0,1,2,D,2,D,117,D,65,D,1755,D,,A,,A,100,D,,
20241,05286704,6,0,1,2,D,2,D,2210,D,0,D,1690,D,,A,,A,0,D,,
20241,05286734,9,0,1,2,D,2,D,1300,D,520,D,2925,D,,A,,A,3000,D,,
20241,05286774,5,0,1,2,D,2,D,0,D,65,D,3900,D,,A,,A,10,D,,
20241,05286784,5,0,1,2,D,2,D,780,D,0,D,1040,D,,A,,A,30,D,,
20241,05286794,8,0,1,2,D,2,D,1625,D,0,D,2600,D,,A,,A,30,D,,
20241,05286814,2,0,1,2,D,2,D,520,D,0,D,390,D,,A,,A,0,D,,
20241,05286894,2,0,1,2,D,2,D,975,D,390,D,3250,D,,A,,A,0,D,,
20241,05286904,4,0,1,2,D,2,D,650,D,0,D,1950,D,,A,,A,0,D,,
20241,05286974,5,0,1,2,D,2,D,0,D,0,D,2535,D,,A,,A,0,D,,
20241,05286984,6,0,1,2,D,2,D,650,D,0,D,715,D,,A,,A,100,D,,
20241,05286994,5,0,1,2,D,2,D,1625,D,0,D,2600,D,,A,,A,300,D,,
20241,05287004,4,0,1,2,D,2,D,0,D,520,D,1963,D,,A,,A,0,D,,
20241,05287024,3,0,1,2,D,2,D,1300,D,0,D,3250,D,,A,,A,0,D,,
20241,05287044,2,0,1,2,D,2,D,780,D,195,D,2275,D,,A,,A,0,D,,
20241,05287054,7,0,1,2,D,2,D,2275,D,0,D,2600,D,,A,,A,50,D,,
20241,05287094,8,0,1,2,D,2,D,1300,D,260,D,3900,D,,A,,A,60,D,,
20241,05287114,6,0,1,2,D,2,D,650,D,130,D,1625,D,,A,,A,250,D,,
20241,05287124,3,0,1,1,D,2,D,260,D,0,D,1950,D,390,D,,A,0,D,,
20241,05287144,5,0,1,2,D,1,D,0,D,0,D,1950,D,,A,278,F,0,D,,
20241,05287174,3,0,1,2,D,2,D,325,D,260,D,325,D,,A,,A,10,D,,
20241,05287204,4,0,1,2,D,2,D,1300,D,260,D,3250,D,,A,,A,0,D,,
20241,05287224,2,0,1,2,D,2,D,260,D,0,D,650,D,,A,,A,0,D,,
20241,05287294,2,0,1,2,D,2,D,0,D,0,D,0,D,,A,,A,0,D,,
20241,05287314,7,0,1,2,D,1,D,780,D,0,D,1560,D,,A,650,D,0,D,,
20241,05287354,5,0,1,2,D,2,D,520,D,130,D,1950,D,,A,,A,0,D,,
20241,05287364,3,0,1,2,D,2,D,1560,D,1300,D,975,D,,A,,A,0,D,,
20241,05287414,10,0,1,2,D,2,D,520,D,0,D,1625,D,,A,,A,60,D,,
20241,05287424,3,0,1,2,D,2,D,3900,D,195,D,1950,D,,A,,A,0,D,,
20241,05287524,6,0,1,2,D,1,D,910,D,520,D,1950,D,,A,195,D,200,D,,
20241,05287554,3,0,1,2,D,2,D,585,D,0,D,2600,D,,A,,A,30,D,,
20241,05287574,3,0,1,2,D,2,D,1560,D,130,D,650,D,,A,,A,150,D,,
20241,05287614,4,0,1,1,D,2,D,130,D,0,D,2600,D,325,D,,A,0,D,,
20241,05287664,4,0,1,2,D,2,D,1300,D,0,D,650,D,,A,,A,10,D,,
20241,05287684,2,0,1,2,D,2,D,0,D,0,D,3900,D,,A,,A,0,D,,
