QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20241,05286514,9,0,1,365,D,,A,10,D,,A,,A,,1,160,A,D
20241,05286514,10,0,1,303,D,,A,13,D,,A,,A,,1,225,A,D
20241,05286774,6,0,1,301,D,,A,13,D,,A,,A,,,2340,A,D
20241,05286794,9,0,1,301,D,,A,12,D,,A,,A,,,13000,A,D
20241,05286794,10,0,1,302,D,,A,10,D,,A,,A,,,700,A,D
20241,05287094,9,0,1,321,D,,A,,A,3,D,,A,13,1,585,D,D
20241,05287114,7,0,1,200,D,,A,13,D,,A,,A,,,4200,A,D
20241,05287114,8,0,1,200,D,,A,13,D,,A,,A,,,300,A,D
20241,05287114,9,0,1,225,D,,A,13,D,,A,,A,,,3600,A,D
20241,05287174,4,0,1,365,D,,A,10,D,,A,,A,,,150,A,D
20241,05287204,5,0,1,200,D,,A,13,D,,A,,A,,,4260,A,D
20241,05287204,6,0,1,100,D,2,D,13,D,,A,,A,,,900,A,D
20241,05287834,5,0,1,100,D,2,D,13,D,,A,,A,,,450,A,D
20241,05288544,6,0,1,200,D,,A,13,D,,A,,A,,,1980,A,D
20241,05288544,7,0,1,200,D,,A,13,D,,A,,A,,,840,A,D
20241,05288664,5,0,2,301,D,,A,10,D,,A,,A,,,120,A,D
20241,05288944,5,0,1,302,D,,A,13,D,,A,,A,,,885,A,D
20241,05288954,6,0,1,302,D,,A,12,D,,A,,A,,,35,A,D
20241,05289114,6,0,1,365,D,,A,12,D,,A,,A,,,40,A,D
20241,05289464,3,0,1,225,D,,A,13,D,,A,,A,,,3300,A,D
20241,05289494,13,0,1,303,D,,A,12,D,,A,,A,,,1500,A,D
20241,05289494,14,0,2,303,D,,A,10,D,,A,,A,,,1500,A,D
20241,05289494,15,0,2,365,D,,A,10,D,,A,,A,,,62,A,D
20241,05289764,3,0,1,303,D,,A,13,D,,A,,A,,,1314,A,D
20241,05289764,4,0,1,365,D,,A,12,D,,A,,A,,,60,A,D
20241,05289854,3,0,1,303,D,,A,12,D,,A,,A,,,11000,A,D
20241,05290414,14,0,1,365,D,,A,11,D,,A,,A,,,36,A,D
20241,05290424,5,0,1,400,D,,A,13,D,,A,,A,,,,A,H
20241,05290424,5,1,1,301,D,,A,13,D,,A,,A,,,917,A,E
20241,05290424,5,2,1,365,D,,A,13,D,,A,,A,,,43,A,E
20241,05290534,16,0,1,303,D,,A,12,D,,A,,A,,,1650,A,D
20241,05290704,9,0,1,100,D,2,D,10,D,,A,,A,,,200,A,D
20241,05290704,10,0,1,100,D,2,D,11,D,,A,,A,,,1500,A,D
