QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20241,05289444,20,0,5,01,D,100,D,.0662,D,80000,D,20,D,677,D,,B,,B,,B,,B,75,D,524,D,527,D,530,D,78,D,75,D,72,D,,A,11,D,2005,D,1,D,,A,14076,D,13552,D,13024,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05290234,21,0,5,01,D,100,D,.0371,D,40000,D,20,D,451,D,3,D,4,D,,A,,A,215,D,121,D,121,D,121,D,115,D,115,D,115,D,,A,11,D,2021,D,1,D,,A,37327,D,37206,D,37085,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05291544,23,0,5,01,D,100,D,.0609,D,40000,D,19,D,300,D,,B,,B,,B,,B,4,D,99,D,99,D,100,D,197,D,197,D,196,D,,A,10,D,2022,D,1,D,,A,38852,D,38753,D,38654,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05293524,16,0,5,01,D,100,D,.0475,D,99881,D,7,D,1400,D,,A,,A,,A,,A,0,D,1378,D,1384,D,1389,D,22,D,16,D,11,D,,A,02,D,2017,D,1,D,,A,5546,D,4168,D,2784,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05345334,15,0,5,01,D,100,D,.0800,D,50000,D,15,D,478,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,368,D,368,D,368,D,,A,01,D,2015,D,2,D,,A,50000,D,50000,D,50000,D,01,D,,A,2,D,,A,356,D,418,D,368,D,,A,2,D
20241,05347924,25,0,5,01,D,100,D,.0450,D,85000,D,15,D,700,D,,B,,B,,B,,B,50,D,445,D,447,D,449,D,205,D,203,D,201,D,,A,04,D,2017,D,1,D,,A,54608,D,54163,D,53716,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05348724,18,0,5,01,D,100,D,.0529,D,75000,D,10,D,806,D,,A,,A,,A,,A,0,D,630,D,633,D,636,D,176,D,173,D,170,D,,A,07,D,2018,D,1,D,,A,39939,D,39309,D,38676,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05349784,31,0,5,01,D,100,D,.0420,D,52000,D,15,D,390,D,,A,,A,,A,,A,0,D,240,D,241,D,242,D,150,D,149,D,148,D,,A,06,D,2020,D,1,D,,A,42847,D,42607,D,42366,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05353464,26,0,5,01,D,100,D,.0750,D,25000,D,20,D,201,D,,A,,A,,A,,A,0,D,51,D,51,D,51,D,105,D,105,D,105,D,,A,11,D,2018,D,2,D,,A,21726,D,21660,D,21594,D,01,D,1,D,,A,,A,156,D,156,D,156,D,1,D,2,D
20241,05354274,48,0,5,01,D,100,D,.0440,D,155103,D,10,D,1600,D,,A,,A,,A,,A,0,D,1408,D,1413,D,1418,D,192,D,187,D,182,D,,A,10,D,2016,D,1,D,,A,52465,D,51057,D,49645,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05356254,23,0,5,01,D,100,D,.0609,F,64803,F,15,F,550,F,,C,,C,,C,,C,0,F,243,F,245,F,246,F,307,F,305,F,304,F,,A,04,F,2022,F,1,F,,A,60404,F,60161,F,59916,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A
20241,05356454,19,0,5,01,D,100,D,.0756,F,50000,F,15,F,700,F,,B,,B,,B,,B,235,F,160,F,161,F,162,F,305,F,304,F,303,F,,A,01,F,2023,F,1,F,,A,48457,F,48297,F,48136,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05357104,24,0,5,01,D,100,D,.0386,D,145000,D,15,D,1542,D,3,D,4,D,,A,,A,480,D,669,D,671,D,673,D,393,D,391,D,389,D,,A,12,D,2020,D,1,D,,A,122307,D,121638,D,120968,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05357824,25,0,5,01,D,100,D,.0800,D,16484,D,10,D,200,D,,A,,A,,A,,A,0,D,,A,,A,90,D,,A,,A,110,D,,A,02,D,2024,D,1,D,,A,,A,,A,16484,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05361994,11,0,5,01,D,100,D,.0400,D,34000,D,14,D,530,D,3,D,4,D,,A,,A,265,D,176,D,176,D,177,D,89,D,89,D,88,D,,A,04,D,2020,D,1,D,,A,26825,D,26650,D,26474,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05366094,10,0,5,01,D,100,D,.0775,F,29216,F,15,F,275,F,,A,,A,,A,,A,0,F,87,F,87,F,88,F,188,F,188,F,187,F,,A,09,F,2023,F,1,F,,A,29130,F,29043,F,28955,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05366784,17,0,5,01,D,100,D,.0480,D,150000,D,5,D,2817,D,3,D,4,D,,A,,A,0,D,2150,T,2188,T,2264,T,473,D,463,D,454,D,,A,10,D,2022,D,1,D,,A,118142,D,115798,D,113444,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20241,05411973,12,0,1,01,D,100,D,.0500,D,37937,D,15,D,300,D,,A,,A,,A,,A,0,D,147,D,147,D,148,D,153,D,153,D,152,D,,A,02,D,2023,D,1,D,,A,36785,D,36638,D,36491,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
