ALCNO,CHIP,CHIPCOV,CHIPCOV_,CHIPPRMX,CHIP_,CHIP_RMX,CHXCHNG,CHXCHNG_,IHS,IHSCOV,IHSCOV_,IHS_,JCHIPQVX,JCHI_QVX,JMDCDQVX,JMDC_QVX,MDCDCOV,MDCDCOV_,MDCDPRMX,MDCD_RMX,MEDICAID,MEDI_AID,MEDPREM,MEDPREM_,MILITARY,MILI_ARY,MILMAN,MILMAN_,MILOTCOV,MILOTHR,MILOTHR_,MILOTSTL,MILO_COV,MILO_STL,MILSPC1,MILSPC1_,MILSPC2,MILSPC2_,MILSPC3,MILSPC3_,MILSPC4,MILSPC4_,MILVACOV,MILVASTL,MILV_COV,MILV_STL,MXCHNG,MXCHNG_,NEWID,QTRIRPMX,QTRI_PMX,RECTYPE,REC_ORIG,REC_STAT,SEQNO,STRFPRM1,STRF_RM1,TRIANYPD,TRIA_YPD,TRICRSTL,TRIC_STL,TRIIRGXB,TRII_GXB,TRILSTTM,TRIL_TTM,TRIRPMPD,TRIRPMXB,TRIR_MPD,TRIR_MXB,QYEAR,TRICOV,TRICOV_
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,,A,1,1,D,1,D,D,2,D,4,D,,A,,A,1,1,D,D,,A,05286244,,A,HHM,5,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,6,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05286344,,A,HHM,5,1,14,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,1,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05286424,,A,HHM,5,1,7,,A,2,D,1,D,,A,,A,10,,D,A,20241,2,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,1,D,4,D,,2,D,,A,A,1,D,,A,,A,,A,,,A,A,,A,05286514,150,D,HHM,5,1,13,,A,1,D,1,D,,A,1,D,04,50,D,D,20241,5,D
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05286544,,A,HHM,1,1,9,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,,A,,A,2,D,,A,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,,A,05286694,,A,HHM,4,1,12,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,9,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05286774,,A,HHM,5,1,10,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,522,D,1,D,174,D,1,D,1,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05286984,,A,HHM,5,1,12,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,1,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,1,D,05286994,,A,HHM,5,1,8,,A,,A,,A,,A,,A,,,A,A,20241,,A
0,2,,A,,D,A,,A,2,,A,D,,A,,A,6,D,,A,1,D,2,D,2,D,,A,,,A,,A,A,,A,,A,,A,,A,,,A,A,2,D,05287124,,A,HHM,5,1,5,,A,,A,,A,,A,,A,,,A,A,20241,,A
