NEWID,SEQNO,ALCNO,HSVCODE,HSVCODE_,HSVCD1,HSVCD1_,HSVCD2,HSVCD2_,HSVCD3,HSVCD3_,HSVCD4,HSVCD4_,HSVCD5,HSVCD5_,HSVCD6,HSVCD6_,HSVCD7,HSVCD7_,HSVCD8,HSVCD8_,HSVCD9,HSVCD9_,HSVMO,HSVMO_,HSVGFTC,HSVGFTC_,HSVEXPX,HSVEXPX_,QYEAR
05411884,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,288,D,20242
05411904,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05411904,16,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,130,D,20242
05411904,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,40,D,20242
05411914,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05411914,15,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,25,D,20242
05411914,16,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,110,D,20242
05411974,8,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,240,D,20242
05411974,9,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,50,D,20242
05411994,16,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,10,D,20242
05412084,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05412134,11,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,300,D,20242
05412214,23,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,102,D,20242
05412214,24,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,102,D,20242
05412244,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,1100,D,20242
05412274,6,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,40,D,20242
05412344,8,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,35,D,20242
05412344,9,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,35,D,20242
05412424,15,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,500,D,20242
05412424,16,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,400,D,20242
05412594,12,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,350,D,20242
05412604,17,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,345,D,20242
05412614,9,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,60,D,20242
05412614,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05412614,11,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,125,D,20242
05412684,15,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,200,D,20242
05412774,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,80,D,20242
05412934,8,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,50,D,20242
05413244,18,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,45,D,20242
05413244,19,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,90,D,20242
05413284,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,159,D,20242
05413374,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,200,D,20242
05413664,7,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,38,D,20242
05413664,8,0,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,38,D,20242
05413764,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,15,D,20242
05413824,12,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,300,D,20242
05413824,13,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,75,D,20242
05413834,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,80,D,20242
05413834,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,20,D,20242
05413834,11,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05413904,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,275,D,20242
05414274,14,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,260,D,20242
05414274,15,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,69,D,20242
05414274,27,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,F,1,D,62,D,20242
05414314,10,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,100,D,20242
05414314,11,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05414334,11,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,450,D,20242
05414494,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05414724,10,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,58,D,20242
05414894,5,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,2000,D,20242
05414894,9,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,250,D,20242
05414894,10,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,160,D,20242
05414924,13,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,20,D,20242
05414944,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05414994,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,68,D,20242
05415194,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,100,D,20242
05415364,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,95,D,20242
05415484,8,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,39,D,20242
05415514,12,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,125,D,20242
05415514,13,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,69,D,20242
05415634,7,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,10,D,20242
05415684,7,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,1,D,75,D,20242
05415684,8,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,42,D,20242
05415754,6,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,6,D,20242
05415954,17,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,152,D,20242
05416114,19,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,2,D,90,D,20242
05416224,18,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,120,D,20242
05416334,8,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,60,D,20242
05416334,9,0,180,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,250,D,20242
05416354,10,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,60,D,20242
05416354,11,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,60,D,20242
05416354,12,0,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,,A,60,D,20242
05416394,16,0,190,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,01,D,,A,15,D,20242
05416444,17,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,50,D,20242
05416504,17,0,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,02,D,,A,200,D,20242
05416514,6,0,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,2,D,300,D,20242
05416544,16,0,370,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,1,D,30,D,20242
05416544,17,0,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,03,D,1,D,28,D,20242
