QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20241,05286344,17,0,5,01,D,105,D,2022,D,,A,,C,07,D,823,D,3,D,,A,,A,,A,,A,,A,823,D,823,D,823,D,,A,,A,,A,,A,,A,D,,A,2022,D,FOR
20241,05286694,23,0,5,01,D,105,D,2021,D,,A,36,D,10,D,420,D,3,D,,A,,A,,A,,A,,A,420,D,420,D,420,D,,A,,A,,A,,A,,A,D,,A,2021,D,FOR
20241,05290044,15,0,5,01,D,105,D,2021,D,,A,36,D,12,F,211,D,3,D,,A,,A,,A,,A,,A,211,D,211,D,211,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20241,05290194,21,0,5,01,D,105,D,2021,D,,A,48,D,03,F,299,D,3,D,,A,,A,2500,D,,A,,A,299,D,299,D,299,D,,A,,A,,A,2500,D,,A,D,,A,2020,D,HON
20241,05290764,22,0,5,01,D,105,D,2021,D,,A,36,D,11,D,562,D,3,D,,A,,C,2000,D,,A,,A,562,D,562,D,562,D,,A,,A,,A,2000,D,,A,D,,A,2022,D,CHE
20241,05291544,16,0,5,01,D,105,D,2019,D,,A,36,D,07,D,450,D,3,D,,A,2000,D,,A,,A,10,D,450,D,,A,,A,,A,,A,,A,,A,3000,D,D,,A,2020,D,DOD
20241,05291774,16,0,5,01,D,105,D,2021,D,,A,24,D,07,D,331,D,3,D,,A,,A,,A,,A,,A,331,D,331,D,331,D,,A,,A,,A,,A,,A,D,,A,2021,D,HON
20241,05292254,20,0,5,01,D,105,D,2021,D,,A,36,D,12,D,640,D,3,D,,A,4400,D,,A,,A,,A,640,D,640,D,640,D,50,D,50,D,50,D,,A,,A,D,,A,2021,D,MAZ
20241,05292934,15,0,5,01,D,105,D,2023,D,,A,36,D,12,D,734,D,3,D,,A,,A,,A,,A,,A,734,D,734,D,734,D,,A,,A,,A,,A,,A,D,,A,2022,D,TES
20241,05292934,16,0,5,02,D,105,D,2021,D,,A,36,D,08,D,790,D,3,D,,A,,A,5000,D,,A,,A,790,D,790,D,790,D,,A,,A,,A,5000,D,,A,D,,A,2021,D,LEX
20241,05293084,8,0,1,01,D,105,D,,C,,A,38,D,12,D,500,D,3,D,,A,,A,1500,D,,A,,A,,A,,A,500,D,,A,,A,60,D,1500,D,,A,D,,A,2023,D,CHE
20241,05295474,19,0,1,01,D,105,D,2024,D,,A,24,D,01,D,563,D,3,D,,A,,A,5000,D,,A,,A,,A,,A,,A,,A,,A,,A,5000,D,,A,D,,A,2024,D,TES
20241,05295984,14,0,1,01,D,105,D,2023,D,,A,12,D,10,D,200,D,3,D,,A,,A,,A,,A,12,D,200,D,200,D,200,D,,A,,A,,A,,A,,A,D,2023,D,2022,D,CHE
20241,05296634,14,0,5,01,D,105,D,2022,D,,A,36,D,05,D,689,D,3,D,,A,,A,,A,,A,,A,689,D,689,D,689,D,,A,,A,,A,,A,,A,D,,A,2022,D,MRB
20241,05296634,15,0,5,02,D,105,D,2020,D,,A,36,D,11,D,499,D,3,D,,A,,A,,A,,A,,A,499,D,499,D,499,D,,A,,A,,A,,A,,A,D,,A,2022,D,LEX
20241,05296764,12,0,1,01,D,105,D,2021,D,,A,,C,12,D,1150,D,3,D,,A,7000,D,,A,,A,,A,,A,,A,1150,D,,A,,A,173,D,,A,,A,D,,A,2023,D,CAD
20241,05296904,15,0,5,01,D,105,D,2021,D,,A,36,D,12,D,372,D,3,D,,A,,A,,A,,A,12,F,372,D,372,D,372,D,,A,,A,,A,,A,,A,D,,A,2021,D,CHE
20241,05296904,16,0,1,02,D,105,D,2024,D,,A,36,D,01,D,450,D,3,D,,A,6500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2024,D,CHE
20241,05296944,33,0,5,01,D,105,D,2022,D,,A,36,D,12,D,0,D,3,D,,A,19000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,D,,A,2021,D,MIN
20241,05297604,12,0,5,01,D,105,D,2024,D,,A,48,D,08,D,392,D,3,D,,A,7000,D,1000,D,,A,,A,392,D,392,D,392,D,,A,,A,,A,1000,D,,A,D,,A,2023,D,CHE
20241,05344964,16,0,5,01,D,105,D,2023,D,,A,36,D,07,D,560,D,3,D,,A,,A,6000,D,,A,,A,560,D,560,D,560,D,,A,,A,,A,6000,D,,A,D,,A,2023,D,SUB
20241,05345024,26,0,5,01,D,105,D,2021,D,,A,36,D,01,D,1100,D,3,D,,A,,A,,A,,A,01,D,1100,D,1100,D,1100,D,,A,,A,,A,,A,,A,D,,A,2021,D,MRB
20241,05345024,27,0,5,02,D,105,D,2021,D,,A,36,D,08,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20241,05345334,11,0,5,01,D,105,D,2023,D,,A,39,D,01,D,547,D,3,D,,A,14000,D,,A,,A,,A,547,D,547,D,547,D,,A,,A,,A,,A,,A,D,,A,2023,D,CHE
20241,05346514,22,0,5,02,D,105,D,2023,D,,A,24,D,07,D,250,D,3,D,,A,,A,2500,D,,A,,A,250,D,250,D,250,D,,A,,A,,A,2500,D,,A,D,,A,2023,D,CHE
20241,05346824,7,0,5,01,D,105,D,2019,D,,A,36,D,06,D,582,D,3,D,,A,,A,1000,D,,A,,A,582,D,582,D,582,D,,A,,A,,A,1000,D,,A,D,,A,2023,D,NIS
20241,05346824,8,0,5,02,D,105,D,2021,D,,A,,C,09,D,550,D,3,D,,A,,C,,A,,A,,A,550,D,550,D,550,D,,A,,A,,A,,A,,A,D,,A,2020,D,HON
20241,05347244,6,0,5,01,D,105,D,2022,D,,A,24,D,01,D,158,D,3,D,,A,,A,5500,D,,A,,A,158,D,158,D,158,D,,A,,A,,A,5500,D,,A,D,,A,2023,D,CHE
20241,05347594,15,0,5,02,D,105,D,2023,D,,A,36,D,08,D,450,D,3,D,,A,,A,2500,D,,A,,A,450,D,450,D,450,D,,A,,A,,A,2500,D,,A,D,,A,2023,D,HON
20241,05347664,20,0,5,01,D,105,D,2022,D,.50,D,36,D,09,D,900,D,3,D,,A,,A,,A,,A,,A,900,D,900,D,900,D,,A,,A,,A,,A,,A,D,,A,2023,D,MRB
20241,05347664,21,0,1,02,D,105,D,2022,D,.40,D,36,D,09,D,900,D,3,D,,A,,A,,A,,A,,A,900,D,900,D,900,D,,A,,A,,A,,A,,A,D,,A,2023,D,MRB
20241,05347814,7,0,5,01,D,105,D,2019,D,,A,60,D,01,D,580,D,3,D,,A,,A,3000,D,,A,,A,580,D,580,D,580,D,140,D,140,D,140,D,3000,D,,A,D,,A,2023,D,KIA
20241,05349614,13,0,1,01,D,105,D,2021,D,,A,60,D,04,D,620,D,3,D,,A,,A,,A,,A,,A,620,D,620,D,620,D,,A,,A,,A,,A,,A,D,,A,2021,D,ACU
20241,05350074,19,0,5,02,D,105,D,2023,D,,A,36,D,05,D,296,D,3,D,,A,19000,D,2000,D,,A,,A,296,D,296,D,296,D,,A,,A,,A,2000,D,,A,D,,A,2023,D,HON
20241,05352014,18,0,5,01,D,105,D,2021,D,,A,48,D,09,D,740,D,3,D,,A,21000,D,3000,D,,A,,A,740,D,740,D,740,D,,A,,A,,A,3000,D,,A,D,,A,2021,D,JEE
20241,05353034,15,0,5,01,D,105,D,2021,D,,A,36,D,06,D,406,D,3,D,,A,,A,,A,,A,,A,406,D,406,D,406,D,,A,,A,,A,,A,,A,D,,A,2021,D,RAM
20241,05354344,28,0,1,01,D,105,D,2023,D,,A,36,D,06,D,550,D,3,D,,A,,A,,A,,A,,A,550,D,550,D,550,D,,A,,A,,A,,A,,A,D,,A,2022,D,CHE
20241,05354624,14,0,5,01,D,105,D,2021,D,,A,36,D,10,D,429,D,3,D,,A,500,D,,A,,A,,A,429,D,429,D,429,D,,A,,A,,A,,A,,A,D,,A,2021,D,TOY
20241,05354944,10,0,5,01,D,105,D,2022,D,,A,36,D,05,D,377,D,3,D,,A,,A,1500,D,,A,,A,377,D,377,D,377,D,,A,,A,,A,1500,D,,A,D,,A,2021,D,SUB
20241,05355114,15,0,5,01,D,105,D,2021,D,,A,36,D,10,D,320,D,3,D,,A,,A,1000,D,,A,,A,320,D,320,D,320,D,,A,,A,,A,1000,D,,A,D,,A,2021,D,FOR
20241,05356534,20,0,5,01,D,105,D,2022,D,,A,36,D,04,D,308,D,3,D,,A,,A,2000,D,,A,01,D,308,D,308,D,308,D,,A,,A,,A,2000,D,,A,D,,A,2021,D,MIN
20241,05357114,19,0,5,01,D,105,D,2023,D,,A,36,D,01,D,590,D,3,D,,A,,A,4000,D,,A,,A,590,D,590,D,590,D,,A,,A,,A,4000,D,,A,D,,A,2023,D,BMW
20241,05357844,11,0,5,01,D,105,D,2023,D,,A,36,D,05,D,600,D,3,D,,A,,A,,A,,A,,A,600,D,600,D,600,D,,A,,A,,A,,A,,A,D,,A,2023,D,ACU
20241,05358414,20,0,5,01,D,105,D,2021,D,,A,36,D,02,D,228,D,3,D,,A,,A,2500,D,,A,,A,228,D,228,D,228,D,,A,,A,,A,2500,D,,A,D,,A,2021,D,HYU
20241,05359594,14,0,5,01,D,105,D,2023,D,,A,36,D,11,D,510,D,3,D,,A,4500,D,510,D,,A,,A,510,D,510,D,510,D,,A,,A,,A,510,D,,A,D,,A,2023,D,NIS
20241,05360654,19,0,5,01,D,105,D,2024,D,,A,36,D,11,D,625,D,3,D,,A,25000,D,,C,,A,,A,625,D,625,D,625,D,,A,,A,,A,,B,,A,D,,A,2023,D,BMW
20241,05362484,7,0,5,01,D,105,D,2023,D,,A,,B,05,D,390,D,3,D,,A,,A,,A,,A,,A,390,D,390,D,390,D,,A,,A,,A,,A,,A,D,,A,2023,D,VOK
