QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20241,05286244,17,0,1,620,D,1,D,12,D,65,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286294,15,0,1,410,D,1,D,11,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20241,05286304,15,0,1,620,D,1,D,13,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,15,0,1,900,D,1,D,11,D,,H,620,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,15,1,1,620,D,1,D,11,D,58,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,15,2,1,200,D,1,D,11,D,292,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,16,0,1,900,D,1,D,11,D,,H,420,D,620,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,16,1,1,420,D,1,D,11,D,102,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,16,2,1,620,D,1,D,11,D,48,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286344,19,0,1,200,D,1,D,10,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286344,20,0,1,200,D,1,D,11,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286344,21,0,1,200,D,1,D,12,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286344,22,0,1,620,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286374,18,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
