QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDRCARY,MEDR_ARY,MEDRGFTC,MEDR_FTC,MEDRMBMO,MEDR_BMO,MEDRMBX,MEDRMBX_,MEDRCY1,MEDRCY1_,MEDRCY2,MEDRCY2_,MEDRCY3,MEDRCY3_,MEDRCY4,MEDRCY4_,MEDRCY5,MEDRCY5_,MEDRCY6,MEDRCY6_,MEDRCY7,MEDRCY7_,MEDRCY8,MEDRCY8_,MEDRCY9,MEDRCY9_,MEDRPRNT,MEDR_RNT,MEDRNOUT,MEDR_OUT
20241,05286334,17,0,1,420,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287094,19,0,2,200,D,1,D,10,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290094,12,0,2,900,D,1,D,10,D,,H,900,D,620,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290094,12,1,2,410,D,1,D,10,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290094,12,2,2,620,D,1,D,10,D,3,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290534,29,0,1,510,D,1,D,12,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290534,30,0,1,510,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290534,31,0,1,620,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290624,11,0,2,900,D,1,D,10,D,,H,900,D,620,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290624,11,1,2,620,D,1,D,10,D,12,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05291424,18,0,1,110,D,1,D,12,D,723,V,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05292144,10,0,1,200,D,1,D,12,D,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05295034,10,0,1,410,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20241,05344904,25,0,2,420,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05346864,16,0,1,620,D,1,D,01,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349124,14,0,1,620,D,1,D,12,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349364,12,0,1,620,D,1,D,01,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349714,27,0,2,510,D,1,D,11,D,357,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349884,29,0,1,110,D,1,D,01,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349884,30,0,1,110,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05349884,31,0,1,110,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05353324,17,0,1,120,D,1,D,01,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05353444,16,0,1,200,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05353724,22,0,1,200,D,1,D,12,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05353734,19,0,1,110,D,1,D,01,D,723,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05354974,18,0,1,420,D,1,D,01,D,500,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05355134,13,0,1,410,D,1,D,01,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20241,05357844,14,0,2,620,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05359524,16,0,1,200,D,1,D,01,D,700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05360584,13,0,1,530,D,1,D,02,D,907,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05360604,15,0,1,410,D,1,D,01,D,805,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20241,05361474,17,0,1,420,D,1,D,12,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
