QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20241,05286244,18,0,1,180,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286244,19,0,1,390,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286294,16,0,1,170,D,13,D,1,D,310,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286294,17,0,1,240,D,13,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286304,16,0,1,260,D,11,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286304,17,0,2,140,D,10,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,18,0,1,170,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,19,0,1,370,D,13,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,20,0,1,340,D,11,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,21,0,1,265,D,12,D,1,D,,H,250,D,260,D,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,21,1,1,250,D,12,D,1,D,240,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,21,2,1,260,D,12,D,1,D,460,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286334,22,0,2,260,D,10,D,1,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286344,23,0,1,150,D,13,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286374,19,0,1,330,D,12,D,2,D,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286424,17,0,1,140,D,13,D,2,D,39,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286424,18,0,1,330,D,12,D,2,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286424,19,0,2,140,D,10,D,1,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286504,11,0,1,140,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286504,12,0,1,390,D,13,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286514,21,0,1,140,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286514,22,0,1,240,D,13,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286544,17,0,1,390,D,13,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,16,0,1,210,D,11,D,1,F,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,44,0,1,150,D,11,D,1,D,184,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,45,0,1,370,D,13,D,1,D,38,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,46,0,1,370,D,12,D,1,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,47,0,1,400,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,48,0,1,400,D,11,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,49,0,1,400,D,12,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,50,0,1,460,D,11,D,1,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,51,0,1,460,D,12,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286634,52,0,1,100,D,13,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286694,25,0,1,170,D,11,D,1,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286734,24,0,1,140,D,12,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286734,25,0,1,345,D,12,D,1,D,,H,340,D,330,D,,A,,A,,A,,A,,A,,A,,,A
20241,05286734,25,1,1,340,D,12,D,1,D,100,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286734,25,2,1,330,D,12,D,1,D,200,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286774,16,0,1,140,D,11,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286774,17,0,1,170,D,13,D,1,D,150,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286784,15,0,1,370,D,13,D,1,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286784,16,0,1,340,D,10,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286784,17,0,1,240,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286784,18,0,1,250,D,12,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286794,23,0,1,370,D,13,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286814,13,0,1,260,D,12,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286974,22,0,1,260,D,11,D,1,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286974,23,0,1,250,D,10,D,1,D,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286974,24,0,1,250,D,12,D,1,D,72,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286974,25,0,1,250,D,12,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05286984,19,0,1,180,D,10,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286984,20,0,1,180,D,12,D,1,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20241,05286994,11,0,1,250,D,12,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287004,18,0,1,400,D,11,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20241,05287004,19,0,1,210,D,11,D,1,D,71,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
