QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_,PAYESCRW,PAYE_CRW,MORTSPEC,MORT_PEC,FEEAMTX,FEEAMTX_
20241,05286774,20,0,5,01,D,100,D,.0296,D,500000,D,30,D,2502,D,3,D,,A,,A,,A,405,D,935,D,937,D,939,D,1162,D,1160,D,1158,D,,A,02,D,2021,D,1,D,,A,471279,D,470345,D,469408,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05286794,28,0,5,01,D,100,D,.0365,D,320000,D,20,D,2700,D,3,D,4,D,,A,,A,819,D,1355,D,1359,D,1364,D,526,D,522,D,517,D,,A,10,D,2012,D,1,D,,A,172837,D,171482,D,170123,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20241,05286894,12,0,5,01,D,100,D,.0397,D,60000,D,15,D,478,D,,B,,B,,B,,B,35,D,292,D,293,D,294,D,151,D,150,D,149,D,,A,04,D,2019,D,1,D,,A,45570,D,45278,D,44985,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05287054,19,0,5,01,D,100,D,.0296,D,53000,D,30,D,515,D,3,D,,A,,A,,A,293,D,97,D,97,D,97,D,125,D,125,D,125,D,,A,11,D,2021,D,1,D,,A,50843,D,50746,D,50650,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05287114,23,0,5,01,D,100,D,.0296,D,198000,D,20,D,1630,D,3,D,,A,,A,,A,536,D,655,D,657,D,659,D,439,D,437,D,435,D,,A,02,D,2021,D,1,D,,A,177861,D,177206,D,176549,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D,,A,,A,,A
20241,05287124,11,0,5,01,D,100,D,.0697,D,55000,D,30,D,498,D,,A,4,D,,A,,A,133,D,221,D,223,D,224,D,144,D,142,D,141,D,,A,01,D,2001,D,1,D,,A,24733,D,24511,D,24289,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05287204,26,0,5,01,D,100,D,.0296,D,435000,D,30,D,2641,D,3,D,,A,,A,,A,816,D,806,D,808,D,810,D,1019,D,1017,D,1015,D,,A,06,D,2021,D,1,D,,A,413228,D,412422,D,411614,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05287314,28,0,5,01,D,100,D,.0534,D,198000,D,30,D,1325,D,3,D,4,D,,A,,A,221,D,240,D,241,D,243,D,864,D,863,D,861,D,,A,05,D,2022,D,1,D,,A,194073,D,193832,D,193591,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D,,A,,A,,A
20241,05287354,15,0,5,01,D,100,D,.0454,D,600000,D,30,D,3500,D,,B,,B,,B,,B,446,D,1002,D,1006,D,1010,D,2052,D,2048,D,2044,D,,A,05,D,2018,D,1,D,,A,542350,D,541348,D,540342,D,01,D,,A,,A,,A,,A,,A,,A,,A,,A,2,D,,A,,A,,A
20241,05287364,8,0,5,01,D,100,D,.0781,F,117825,F,30,F,849,F,,C,,C,,C,,C,0,F,722,F,727,F,731,F,127,F,122,F,118,F,,A,01,F,1996,F,1,F,,A,19534,F,18812,F,18085,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A,2,D,,A,,A,,A
