QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20241,05286294,21,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286294,22,0,5,02,D,200,D,,A,3,D,,B,2012,D,,A,,A,,A,880,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05286294,23,0,5,03,D,200,D,,A,3,D,,B,2013,D,,A,,A,,A,340,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05286304,20,0,5,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286304,21,0,5,02,D,300,D,,A,3,D,,B,2019,D,,A,,A,,A,3900,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05286334,24,0,5,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,14000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286374,21,0,5,01,D,100,D,,A,3,D,,B,1983,D,,A,,A,,A,270,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286424,21,0,5,01,D,100,D,,A,1,D,,B,1996,D,,A,,A,,A,6000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286444,38,0,5,01,D,100,D,,A,3,D,,B,1986,D,,A,,A,,A,1900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286504,14,0,5,01,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286514,24,0,5,01,D,100,D,,A,3,D,,B,2020,D,,A,,A,,A,5500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286634,55,0,5,01,D,100,D,,A,3,D,,B,1986,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20241,05286694,28,0,5,01,D,100,D,,A,3,D,,B,1996,D,,A,,A,,A,5000,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286694,29,0,5,02,D,300,D,,A,3,D,,B,1981,D,,A,,A,,A,2500,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05286704,27,0,5,01,D,100,D,,A,1,D,,B,1992,D,,A,,A,,A,4500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286734,27,0,5,01,D,100,D,,A,3,D,10,D,2022,D,,A,,A,,A,20889,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286774,19,0,5,01,D,100,D,,A,1,D,,B,2021,D,,A,,A,,A,6800,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286794,26,0,5,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,7300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286794,27,0,5,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286894,11,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286904,17,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,1800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05286974,27,0,5,01,D,100,D,0.25,D,3,D,,B,1995,D,,A,,A,,A,4200,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20241,05286994,14,0,5,01,D,100,D,,A,3,D,03,D,2023,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,1,D,2,D,,A
20241,05287004,23,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,680,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20241,05287024,19,0,5,01,D,100,D,,A,3,D,,B,2010,D,,A,,A,,A,250,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
