QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20241,05286344,2,28,0,1,2,D,,A,390,D
20241,05286344,3,29,0,1,2,D,,A,390,D
20241,05287664,1,9,0,1,3,D,,A,450,D
20241,05287774,1,28,0,1,3,D,,A,45,D
20241,05288334,1,12,0,1,3,D,,A,150,D
20241,05288624,1,7,0,1,2,D,,A,520,D
20241,05288944,1,13,0,1,3,D,,A,399,D
20241,05289264,1,7,0,1,3,D,,A,210,D
20241,05289764,1,32,0,1,7,D,,A,20,D
20241,05289764,2,33,0,1,7,D,,A,20,D
20241,05290244,1,39,0,1,7,D,,A,20,D
20241,05290424,2,31,0,1,2,D,,A,91,D
20241,05290544,1,10,0,1,3,D,,A,90,D
20241,05290624,1,14,0,1,3,D,,A,105,D
20241,05290964,1,13,0,1,4,D,,A,200,D
20241,05291094,1,30,0,1,,A,,A,208,F
20241,05291094,3,31,0,1,2,D,,A,221,D
20241,05291094,4,32,0,1,2,D,,A,221,D
20241,05291094,5,33,0,1,2,D,,A,299,D
20241,05291754,1,23,0,1,3,D,,A,855,D
20241,05291884,1,10,0,1,3,D,,A,90,D
20241,05292544,1,73,0,1,4,D,,A,80,D
20241,05293604,1,32,0,1,7,D,,A,45,D
20241,05293604,2,33,0,1,7,D,,A,45,D
20241,05294084,1,34,0,1,2,D,,A,78,D
20241,05294084,3,35,0,1,2,D,,A,364,D
20241,05294924,1,47,0,1,3,D,,A,30,D
20241,05294924,2,48,0,1,3,D,,A,30,D
20241,05294924,3,49,0,1,3,D,,A,30,D
20241,05294924,4,50,0,1,3,D,,A,30,D
20241,05296424,1,11,0,1,2,D,,A,442,D
20241,05296424,2,12,0,1,2,D,,A,442,D
20241,05296424,4,13,0,1,2,D,,A,442,D
20241,05296644,1,36,0,1,3,D,,A,150,D
20241,05296644,2,37,0,1,3,D,,A,300,D
20241,05296684,1,8,0,1,3,D,,A,75,D
20241,05296774,1,23,0,1,3,D,,A,60,D
20241,05296774,3,24,0,1,3,D,,A,60,D
20241,05297124,1,5,0,1,2,D,,A,78,D
20241,05297544,1,25,0,1,7,D,,A,300,D
20241,05297544,2,26,0,1,7,D,,A,300,D
20241,05297544,5,27,0,1,7,D,,A,300,D
20241,05297544,6,28,0,1,7,D,,A,300,D
20241,05344084,1,38,0,1,4,D,,A,100,D
20241,05345034,1,5,0,1,2,D,,A,260,D
20241,05345414,1,8,0,1,1,D,3,D,234,D
20241,05345484,2,41,0,1,2,D,,A,1040,D
20241,05345594,1,6,0,1,3,D,,A,60,D
20241,05346864,1,29,0,1,3,D,,A,600,D
20241,05346864,2,30,0,1,3,D,,A,300,D
20241,05347964,1,18,0,1,3,D,,A,393,D
20241,05347964,2,19,0,1,3,D,,A,393,D
20241,05348074,1,29,0,1,4,D,,A,100,D
20241,05348424,2,21,0,1,7,D,,A,135,D
20241,05349054,1,10,0,1,3,D,,A,60,D
20241,05349264,1,7,0,1,3,D,,A,540,D
20241,05349814,1,9,0,1,2,D,,A,806,D
20241,05349884,1,38,0,1,4,D,,A,25,D
20241,05350734,1,12,0,1,3,D,,A,30,D
20241,05351304,1,21,0,1,2,D,,A,1300,D
20241,05351474,1,23,0,1,3,D,,A,90,D
20241,05351474,3,24,0,1,3,D,,A,180,D
20241,05351474,4,25,0,1,3,D,,A,180,D
20241,05351684,2,17,0,1,3,D,,A,45,D
20241,05351964,3,51,0,1,4,D,,A,200,D
20241,05352224,3,34,0,1,3,D,,A,60,D
20241,05353014,1,14,0,1,2,D,,A,364,D
20241,05353334,3,43,0,1,3,D,,A,90,D
20241,05354194,1,30,0,1,7,D,,A,30,D
20241,05354194,2,31,0,1,7,D,,A,30,D
20241,05354494,3,44,0,1,4,D,,A,144,D
20241,05354674,1,25,0,1,3,D,,A,30,D
20241,05354984,1,21,0,1,3,D,,A,18,D
20241,05355034,1,35,0,1,7,D,,A,12,D
20241,05355194,1,10,0,1,3,D,,A,30,D
20241,05355194,2,11,0,1,3,D,,A,30,D
20241,05355604,1,43,0,1,7,D,,A,10,D
20241,05356254,1,33,0,1,1,D,3,D,585,D
20241,05356594,1,12,0,1,4,D,,A,20,D
20241,05358004,1,28,0,1,7,D,,A,9,D
20241,05358244,1,12,0,1,3,D,,A,285,D
20241,05359064,1,47,0,1,4,D,,A,10,D
20241,05359214,1,38,0,1,7,D,,A,60,D
20241,05360604,1,25,0,1,3,D,,A,450,D
20241,05360844,1,39,0,1,7,D,,A,700,D
20241,05361474,1,25,0,1,7,D,,A,7,D
20241,05361754,1,13,0,1,3,D,,A,75,D
20241,05361994,1,21,0,1,6,D,,A,208,D
20241,05362054,1,35,0,1,3,D,,A,300,D
20241,05363764,1,20,0,1,3,D,,A,45,D
20241,05364354,3,34,0,1,3,D,,A,90,D
20241,05364494,1,16,0,1,3,D,,A,60,D
20241,05364804,1,12,0,1,3,D,,A,270,D
20241,05365464,1,5,0,1,2,D,,A,429,D
20241,05365464,3,6,0,1,2,D,,A,429,D
20241,05365634,3,30,0,1,3,D,,A,240,D
20241,05366344,1,30,0,1,7,D,,A,40,D
20241,05366504,1,20,0,1,7,D,,A,3,D
20241,05366814,1,26,0,1,4,D,,A,5,D
20241,05366814,2,27,0,1,4,D,,A,5,D
20241,05411963,2,33,0,1,1,D,5,D,650,D
20241,05412023,1,6,0,1,2,D,,A,390,D
20241,05412053,1,18,0,1,7,D,,A,15,D
20241,05412303,2,24,0,1,3,D,,A,396,D
20241,05412343,1,18,0,1,3,D,,A,15,D
20241,05412343,2,19,0,1,3,D,,A,6,D
20241,05412683,1,26,0,1,3,D,,A,21,D
20241,05412683,2,27,0,1,,A,,A,240,F
20241,05413213,1,14,0,1,3,D,,A,660,D
20241,05413533,2,9,0,1,3,D,,A,120,D
20241,05414103,1,9,0,1,3,D,,A,96,D
