QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20241,05287804,28,0,1,105,D,,A,300,D,2,D
20241,05288864,11,0,1,105,D,,A,200,D,1,D
20241,05290144,28,0,1,105,D,,A,75,D,2,D
20241,05290414,70,0,1,200,D,,A,70,D,1,D
20241,05291044,24,0,1,105,D,,A,600,D,2,D
20241,05291544,28,0,1,105,D,,A,180,D,1,D
20241,05291694,42,0,1,105,D,,A,225,D,1,D
20241,05291884,11,0,1,105,D,,A,600,D,1,D
20241,05292824,34,0,1,105,D,,A,450,D,2,D
20241,05294924,51,0,1,105,D,,A,300,D,1,D
20241,05295974,53,0,1,105,D,,A,225,D,1,D
20241,05296264,49,0,1,105,D,,A,300,D,1,D
20241,05296324,21,0,1,105,D,,A,160,D,1,D
20241,05296424,14,0,1,105,D,,A,377,D,1,D
20241,05344664,18,0,1,105,D,,A,727,D,2,D
20241,05345464,31,0,1,105,D,,A,203,D,2,D
20241,05346074,37,0,1,105,D,,A,335,D,1,D
20241,05346984,10,0,1,105,D,,A,210,D,2,D
20241,05349884,39,0,1,105,D,,A,855,D,1,D
20241,05350844,46,0,1,105,D,,A,200,D,1,D
20241,05352054,59,0,1,180,D,,A,180,D,1,D
20241,05354974,49,0,1,105,D,,A,1189,D,2,D
20241,05359034,26,0,1,105,D,,A,600,D,1,D
20241,05360604,26,0,1,105,D,,A,150,D,1,D
20241,05361804,15,0,1,105,D,,A,250,D,2,D
20241,05362114,14,0,1,105,D,,A,175,D,1,D
20241,05362824,37,0,1,105,D,,A,600,D,1,D
20241,05362824,38,0,1,105,D,,A,700,D,1,D
20241,05365024,22,0,1,105,D,,A,300,D,1,D
20241,05365654,28,0,1,105,D,,A,900,D,2,D
20241,05411743,14,0,1,105,D,,A,340,D,1,D
20241,05412133,31,0,1,105,D,,A,656,D,1,D
20241,05412423,32,0,1,105,D,,A,200,D,1,D
20241,05414643,41,0,1,105,D,,A,75,D,2,D
20241,05415953,48,0,1,105,D,,A,272,D,1,D
20241,05416443,32,0,1,105,D,,A,110,D,1,D
20241,05416483,30,0,1,105,D,,A,140,D,2,D
20241,05417323,43,0,1,180,D,,A,90,D,1,D
20241,05418313,20,0,1,105,D,,A,120,D,2,D
20241,05418473,34,0,1,150,D,,A,10,D,2,D
20241,05418873,30,0,1,105,D,,A,100,D,1,D
20241,05419713,17,0,1,105,D,,A,118,D,1,D
20241,05420153,36,0,1,105,D,,A,182,D,1,D
20241,05421563,16,0,1,105,D,,A,500,D,2,D
20241,05421643,19,0,1,200,D,,A,197,D,2,D
20241,05423123,48,0,1,105,D,,A,500,D,1,D
