QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20241,05286244,23,0,1,500,D,1,D,140,D,11,D,
20241,05286244,24,0,1,355,D,1,D,10,D,13,D,
20241,05286244,25,0,1,355,D,1,D,8,D,13,D,
20241,05286334,32,0,1,840,D,1,D,12,D,13,D,
20241,05286334,33,0,1,355,D,1,D,16,D,13,D,
20241,05286334,34,0,1,355,D,1,D,5,D,13,D,
20241,05286344,31,0,1,840,D,1,D,14,D,13,D,
20241,05286344,32,0,1,520,D,1,D,60,D,10,D,
20241,05286344,33,0,1,330,D,1,D,15,D,13,D,
20241,05286344,34,0,1,355,D,1,D,20,D,13,D,
20241,05286344,35,0,1,355,D,1,D,15,D,13,D,
20241,05286344,36,0,1,370,D,1,D,60,D,12,D,1
20241,05286344,37,0,1,370,D,1,D,15,D,10,D,1
20241,05286344,38,0,1,370,D,1,D,15,D,11,D,1
20241,05286344,39,0,1,370,D,1,D,15,D,12,D,1
20241,05286424,27,0,1,610,D,1,D,100,D,10,D,
20241,05286424,28,0,1,830,D,1,D,10,D,10,D,
20241,05286424,29,0,1,840,D,1,D,13,D,13,D,
20241,05286424,30,0,1,150,D,1,D,20,D,13,D,
20241,05286424,31,0,1,210,D,1,D,36,D,10,D,
20241,05286444,42,0,1,310,D,1,D,107,D,12,D,
20241,05286504,17,0,1,840,D,1,D,15,D,13,D,
20241,05286504,18,0,1,840,D,1,D,15,D,13,D,
20241,05286504,19,0,1,320,D,1,D,30,D,10,D,
20241,05286504,20,0,1,320,D,1,D,60,D,11,D,
20241,05286504,21,0,1,320,D,1,D,60,D,12,D,
20241,05286514,28,0,1,830,D,1,D,190,D,13,D,
20241,05286514,29,0,1,610,D,1,D,90,D,12,D,
20241,05286514,30,0,1,610,D,1,D,90,D,11,D,
20241,05286514,31,0,1,610,D,1,D,90,D,10,D,
