QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20241,05286504,22,0,1,1,D,,H,,A
20241,05286504,22,1,1,,A,38,E,100,D
20241,05286504,22,2,1,,A,8,E,110,D
20241,05286504,22,3,1,,A,20,E,120,D
20241,05286504,22,4,1,,A,31,E,130,D
20241,05286504,22,5,1,,A,3,E,140,D
20241,05286504,22,6,1,,A,85,E,150,D
20241,05286504,22,7,1,,A,2,E,160,D
20241,05286504,22,8,1,,A,4,E,190,D
20241,05286504,22,9,1,,A,9,E,210,D
20241,05287664,11,0,1,1,D,,H,,A
20241,05287664,11,1,1,,A,127,E,100,D
20241,05287664,11,2,1,,A,18,E,110,D
20241,05290094,32,0,1,4,D,,H,,A
20241,05290094,32,1,1,,A,299,E,100,D
20241,05290094,32,2,1,,A,72,E,110,D
20241,05290094,32,3,1,,A,129,E,210,D
20241,05290424,38,0,1,1,D,,H,,A
20241,05290424,38,1,1,,A,69,E,100,D
20241,05290424,38,2,1,,A,14,E,110,D
20241,05290424,38,3,1,,A,10,E,120,D
20241,05290424,38,4,1,,A,4,E,140,D
20241,05290424,38,5,1,,A,207,E,150,D
20241,05290424,38,6,1,,A,50,E,160,D
20241,05290424,38,7,1,,A,19,E,170,D
20241,05290424,38,8,1,,A,27,E,190,D
20241,05291044,30,0,1,1,D,,H,,A
20241,05291044,30,1,1,,A,112,E,120,D
20241,05291044,30,2,1,,A,573,E,150,D
20241,05291044,30,3,1,,A,81,E,160,D
20241,05291044,30,4,1,,A,5,E,170,D
20241,05291044,30,5,1,,A,107,E,180,D
20241,05291044,30,6,1,,A,122,E,190,D
20241,05291154,24,0,1,3,D,,H,,A
20241,05291154,24,1,1,,A,30,E,100,D
20241,05291154,24,2,1,,A,4,E,110,D
20241,05291154,24,3,1,,A,100,E,120,D
20241,05291154,24,4,1,,A,300,E,150,D
20241,05291154,24,5,1,,A,22,E,160,D
20241,05291154,24,6,1,,A,44,E,170,D
20241,05292674,18,0,1,1,D,,H,,A
20241,05292674,18,1,1,,A,50,E,100,D
20241,05292674,18,2,1,,A,10,E,110,D
20241,05292674,18,3,1,,A,40,E,130,D
20241,05294474,24,0,1,1,D,,H,,A
20241,05294474,24,1,1,,A,3,E,120,D
20241,05294474,24,2,1,,A,1,E,140,D
20241,05294474,24,3,1,,A,45,E,150,D
20241,05294474,24,4,1,,A,11,E,160,D
20241,05294474,24,5,1,,A,4,E,170,D
20241,05294474,24,6,1,,A,6,E,190,D
20241,05346884,31,0,1,1,D,,H,,A
20241,05346884,31,1,1,,A,4,E,120,D
20241,05346884,31,2,1,,A,25,E,150,D
20241,05346884,31,3,1,,A,1,E,190,D
20241,05348524,39,0,1,1,D,,H,,A
20241,05348524,39,1,1,,A,5,E,120,D
20241,05348524,39,2,1,,A,1,E,140,D
20241,05348524,39,3,1,,A,64,E,150,D
20241,05348524,39,4,1,,A,16,E,160,D
20241,05348524,39,5,1,,A,6,E,170,D
20241,05348524,39,6,1,,A,8,E,190,D
20241,05350144,24,0,1,1,D,,H,,A
20241,05350144,24,1,1,,A,21,E,120,D
20241,05350144,24,2,1,,A,95,E,150,D
20241,05350144,24,3,1,,A,42,E,160,D
20241,05350144,24,4,1,,A,2,E,190,D
20241,05351094,40,0,1,1,D,,H,,A
20241,05351094,40,1,1,,A,42,E,100,D
20241,05351094,40,2,1,,A,6,E,110,D
20241,05351094,40,3,1,,A,138,E,120,D
20241,05351094,40,4,1,,A,110,E,130,D
20241,05351094,40,5,1,,A,410,E,150,D
20241,05351094,40,6,1,,A,34,E,160,D
20241,05351094,40,7,1,,A,60,E,170,D
20241,05353634,62,0,1,1,D,,H,,A
20241,05353634,62,1,1,,A,116,E,210,D
20241,05353634,62,2,1,,A,184,E,220,D
20241,05353954,36,0,1,2,D,,H,,A
20241,05353954,36,1,1,,A,165,E,100,D
20241,05353954,36,2,1,,A,35,E,110,D
20241,05355014,36,0,1,1,D,,H,,A
20241,05355014,36,1,1,,A,215,E,100,D
20241,05355014,36,2,1,,A,6,E,110,D
20241,05355014,36,3,1,,A,379,E,150,D
20241,05358244,18,0,1,1,D,,H,,A
20241,05358244,18,1,1,,A,146,E,100,D
20241,05358244,18,2,1,,A,20,E,110,D
20241,05358244,18,3,1,,A,84,E,210,D
20241,05358934,59,0,1,1,D,,H,,A
20241,05358934,59,1,1,,A,5,E,120,D
20241,05358934,59,2,1,,A,26,E,150,D
20241,05358934,59,3,1,,A,11,E,160,D
20241,05363884,16,0,1,1,D,,H,,A
20241,05363884,16,1,1,,A,285,E,100,D
20241,05363884,16,2,1,,A,59,E,110,D
20241,05363884,16,3,1,,A,42,E,120,D
20241,05363884,16,4,1,,A,886,E,130,D
20241,05363884,16,5,1,,A,18,E,140,D
20241,05363884,16,6,1,,A,820,E,150,D
20241,05363884,16,7,1,,A,204,E,160,D
20241,05363884,16,8,1,,A,77,E,170,D
20241,05363884,16,9,1,,A,109,E,190,D
20241,05365634,32,0,1,1,D,,H,,A
20241,05365634,32,1,1,,A,800,E,130,D
20241,05411833,21,0,1,1,D,,H,,A
20241,05411833,21,1,1,,A,80,E,100,D
20241,05411833,21,2,1,,A,20,E,110,D
20241,05412053,28,0,1,1,D,,H,,A
20241,05412053,28,1,1,,A,163,E,100,D
20241,05412053,28,2,1,,A,37,E,110,D
20241,05412173,17,0,1,1,D,,H,,A
20241,05412173,17,1,1,,A,5,E,120,D
20241,05412173,17,2,1,,A,1,E,140,D
20241,05412173,17,3,1,,A,64,E,150,D
20241,05412173,17,4,1,,A,16,E,160,D
20241,05412173,17,5,1,,A,6,E,170,D
20241,05412173,17,6,1,,A,8,E,190,D
20241,05414103,13,0,1,2,D,,H,,A
20241,05414103,13,1,1,,A,27,E,100,D
20241,05414103,13,2,1,,A,3,E,110,D
20241,05415293,24,0,1,1,D,,H,,A
20241,05415293,24,1,1,,A,195,E,100,D
20241,05415293,24,2,1,,A,5,E,110,D
20241,05415573,50,0,1,1,D,,H,,A
20241,05415573,50,1,1,,A,165,E,100,D
20241,05415573,50,2,1,,A,35,E,110,D
20241,05415953,58,0,1,1,D,,H,,A
20241,05415953,58,1,1,,A,626,E,100,D
20241,05415953,58,2,1,,A,157,E,110,D
20241,05415953,58,3,1,,A,259,E,120,D
20241,05415953,58,4,1,,A,1469,E,130,D
20241,05415953,58,5,1,,A,19,E,140,D
20241,05415953,58,6,1,,A,2074,E,150,D
20241,05415953,58,7,1,,A,51,E,160,D
20241,05415953,58,8,1,,A,50,E,170,D
20241,05415953,58,9,1,,A,109,E,190,D
20241,05415953,58,10,1,,A,266,E,210,D
20241,05416363,50,0,1,1,D,,H,,A
20241,05416363,50,1,1,,A,39,E,100,D
20241,05416363,50,2,1,,A,11,E,110,D
20241,05417023,17,0,1,1,D,,H,,A
20241,05417023,17,1,1,,A,91,E,120,D
20241,05417023,17,2,1,,A,458,E,150,D
20241,05417023,17,3,1,,A,65,E,160,D
