QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20241,05286344,40,0,1,,H,,A
20241,05286344,40,1,1,28,E,120,D
20241,05286344,40,2,1,123,E,130,D
20241,05286344,40,3,1,3,E,140,D
20241,05286344,40,4,1,242,E,150,D
20241,05286344,40,5,1,14,E,160,D
20241,05286344,40,6,1,13,E,170,D
20241,05286344,40,7,1,158,E,180,D
20241,05286344,40,8,1,19,E,190,D
20241,05291044,31,0,1,,H,,A
20241,05291044,31,1,1,163,E,100,D
20241,05291044,31,2,1,37,E,110,D
20241,05296814,35,0,1,,H,,A
20241,05296814,35,1,1,43,E,120,D
20241,05296814,35,2,1,10,E,140,D
20241,05296814,35,3,1,521,E,150,D
20241,05296814,35,4,1,62,E,160,D
20241,05296814,35,5,1,38,E,170,D
20241,05296814,35,6,1,46,E,180,D
20241,05296814,35,7,1,60,E,190,D
20241,05297654,24,0,1,,H,,A
20241,05297654,24,1,1,51,E,100,D
20241,05297654,24,2,1,12,E,110,D
20241,05297654,24,3,1,25,E,120,D
20241,05297654,24,4,1,131,E,130,D
20241,05297654,24,5,1,3,E,140,D
20241,05297654,24,6,1,257,E,150,D
20241,05297654,24,7,1,14,E,160,D
20241,05297654,24,8,1,14,E,170,D
20241,05297654,24,9,1,168,E,180,D
20241,05297654,24,10,1,21,E,190,D
20241,05297654,24,11,1,28,E,210,D
20241,05297654,24,12,1,26,E,220,D
20241,05345464,38,0,1,,H,,A
20241,05345464,38,1,1,2610,E,130,D
20241,05346364,45,0,1,,C,,A
20241,05347434,32,0,1,,H,,A
20241,05347434,32,1,1,3,E,120,D
20241,05347434,32,2,1,25,E,130,D
20241,05347434,32,3,1,27,E,150,D
20241,05347434,32,4,1,1,E,160,D
20241,05347434,32,5,1,1,E,170,D
20241,05347434,32,6,1,3,E,190,D
20241,05349934,24,0,1,,H,,A
20241,05349934,24,1,1,91,E,100,D
20241,05349934,24,2,1,26,E,110,D
20241,05349934,24,3,1,28,E,120,D
20241,05349934,24,4,1,206,E,130,D
20241,05349934,24,5,1,6,E,140,D
20241,05349934,24,6,1,310,E,150,D
20241,05349934,24,7,1,32,E,160,D
20241,05349934,24,8,1,7,E,170,D
20241,05349934,24,9,1,404,E,180,D
20241,05349934,24,10,1,33,E,190,D
20241,05349934,24,11,1,51,E,210,D
20241,05349934,24,12,1,6,E,220,D
20241,05350614,29,0,1,,H,,A
20241,05350614,29,1,1,33,E,120,D
20241,05350614,29,2,1,4,E,140,D
20241,05350614,29,3,1,304,E,150,D
20241,05350614,29,4,1,17,E,160,D
20241,05350614,29,5,1,17,E,170,D
20241,05350614,29,6,1,200,E,180,D
20241,05350614,29,7,1,25,E,190,D
20241,05351964,62,0,1,,H,,A
20241,05351964,62,1,1,386,E,100,D
20241,05351964,62,2,1,67,E,110,D
20241,05351964,62,3,1,92,E,120,D
20241,05351964,62,4,1,611,E,130,D
20241,05351964,62,5,1,14,E,140,D
20241,05351964,62,6,1,1107,E,150,D
20241,05351964,62,7,1,133,E,160,D
20241,05351964,62,8,1,80,E,170,D
20241,05351964,62,9,1,98,E,180,D
20241,05351964,62,10,1,134,E,190,D
20241,05351964,62,11,1,150,E,210,D
20241,05351964,62,12,1,128,E,220,D
20241,05354974,50,0,1,,H,,A
20241,05354974,50,1,1,250,E,100,D
20241,05354974,50,2,1,62,E,110,D
20241,05354974,50,3,1,150,E,120,D
20241,05354974,50,4,1,22,E,140,D
20241,05354974,50,5,1,1127,E,150,D
20241,05354974,50,6,1,171,E,160,D
20241,05354974,50,7,1,61,E,170,D
20241,05354974,50,8,1,307,E,180,D
20241,05354974,50,9,1,126,E,190,D
20241,05358994,15,0,1,,H,,A
20241,05358994,15,1,1,79,E,120,D
20241,05358994,15,2,1,10,E,140,D
20241,05358994,15,3,1,762,E,150,D
20241,05358994,15,4,1,44,E,160,D
20241,05358994,15,5,1,43,E,170,D
20241,05358994,15,6,1,500,E,180,D
20241,05358994,15,7,1,62,E,190,D
20241,05360154,30,0,1,,H,,A
20241,05360154,30,1,1,10,E,120,D
20241,05360154,30,2,1,2,E,140,D
20241,05360154,30,3,1,96,E,150,D
20241,05360154,30,4,1,10,E,160,D
20241,05360154,30,5,1,2,E,170,D
20241,05360154,30,6,1,125,E,180,D
20241,05360154,30,7,1,10,E,190,D
20241,05365074,58,0,1,,H,,A
20241,05365074,58,1,1,27,E,120,D
20241,05365074,58,2,1,7,E,140,D
20241,05365074,58,3,1,334,E,150,D
20241,05365074,58,4,1,40,E,160,D
20241,05365074,58,5,1,24,E,170,D
20241,05365074,58,6,1,29,E,180,D
20241,05365074,58,7,1,39,E,190,D
20241,05413543,36,0,1,,H,,A
20241,05413543,36,1,1,475,E,210,D
20241,05413543,36,2,1,55,E,220,D
20241,05415443,33,0,1,,H,,A
20241,05415443,33,1,1,104,E,120,D
20241,05415443,33,2,1,15,E,140,D
20241,05415443,33,3,1,1203,E,150,D
20241,05415443,33,4,1,145,E,160,D
20241,05415443,33,5,1,87,E,170,D
20241,05415443,33,6,1,106,E,180,D
20241,05415443,33,7,1,140,E,190,D
20241,05417243,33,0,1,,H,,A
20241,05417243,33,1,1,12,E,120,D
20241,05417243,33,2,1,1,E,140,D
20241,05417243,33,3,1,103,E,150,D
20241,05417243,33,4,1,9,E,160,D
20241,05417243,33,5,1,9,E,170,D
20241,05417243,33,6,1,16,E,190,D
20241,05417853,100,0,1,,H,,A
20241,05417853,100,1,1,33,E,120,D
20241,05417853,100,2,1,5,E,140,D
20241,05417853,100,3,1,404,E,150,D
20241,05417853,100,4,1,48,E,160,D
20241,05417853,100,5,1,29,E,170,D
20241,05417853,100,6,1,35,E,180,D
20241,05417853,100,7,1,46,E,190,D
20241,05420203,18,0,1,,H,,A
20241,05420203,18,1,1,63,E,100,D
20241,05420203,18,2,1,30,E,110,D
20241,05420203,18,3,1,39,E,120,D
20241,05420203,18,4,1,207,E,130,D
20241,05420203,18,5,1,8,E,140,D
20241,05420203,18,6,1,309,E,150,D
20241,05420203,18,7,1,16,E,160,D
20241,05420203,18,8,1,40,E,170,D
20241,05420203,18,9,1,38,E,190,D
20241,05422153,56,0,1,,H,,A
20241,05422153,56,1,1,127,E,100,D
20241,05422153,56,2,1,30,E,110,D
20241,05422153,56,3,1,50,E,120,D
20241,05422153,56,4,1,248,E,130,D
20241,05422153,56,5,1,7,E,140,D
20241,05422153,56,6,1,363,E,150,D
20241,05422153,56,7,1,34,E,160,D
20241,05422153,56,8,1,33,E,170,D
20241,05422153,56,9,1,58,E,190,D
20241,05422503,31,0,1,,H,,A
20241,05422503,31,1,1,218,E,100,D
20241,05422503,31,2,1,54,E,110,D
20241,05422503,31,3,1,686,E,130,D
20241,05424663,20,0,1,,H,,A
20241,05424663,20,1,1,232,E,100,D
20241,05424663,20,2,1,52,E,110,D
20241,05424663,20,3,1,93,E,120,D
20241,05424663,20,4,1,490,E,130,D
20241,05424663,20,5,1,14,E,140,D
20241,05424663,20,6,1,668,E,150,D
20241,05424663,20,7,1,46,E,160,D
20241,05424663,20,8,1,36,E,170,D
20241,05424663,20,9,1,8,E,180,D
20241,05424663,20,10,1,91,E,190,D
20241,05424663,20,11,1,131,E,210,D
20241,05424663,20,12,1,139,E,220,D
20241,05429093,22,0,1,,H,,A
20241,05429093,22,1,1,69,E,100,D
20241,05429093,22,2,1,16,E,110,D
