QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH,TELMOBI,TELMOBI_,TELLAND,TELLAND_,TELOTHER,TELO_HER
20241,05286244,26,0,1,,A,,A,,A,1,D,1,D,,A,51,E,51,E,50,E,89,E,89,E,90,E,,A,,A,,A,,A,,A,,A,2,D,2,D,2,,A,,A,,A
20241,05286244,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D,2,,A,,A,,A
20241,05286294,33,0,1,,A,,A,2,D,1,D,2,D,,A,88,E,88,E,89,E,,A,,A,,A,,A,,A,,A,162,E,162,E,161,E,2,D,1,D,4,,A,,A,,A
20241,05286304,38,0,1,,A,1,D,,A,1,D,1,D,,A,48,E,49,E,47,E,92,E,90,E,93,E,60,E,61,E,60,E,,A,,A,,A,2,D,1,D,1,,A,,A,,A
20241,05286334,37,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,98,D,98,D,98,D,,A,1,D,1,,A,,A,,A
20241,05286334,38,0,1,,A,,A,,A,1,D,2,D,,A,55,D,55,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,1,,A,,A,,A
20241,05286344,42,0,1,,A,,A,,A,1,D,1,D,,A,36,E,35,E,36,E,74,E,75,E,74,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1,,A,,A,,A
20241,05286344,43,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,275,D,275,D,275,D,,A,1,D,3,,A,,A,,A
20241,05286374,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,60,D,60,D,60,D,,A,1,D,2,,A,,A,,A
20241,05286374,26,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,40,D,40,D,40,D,,A,,A,,A,,A,,A,,A,,A,2,D,2,,A,,A,,A
20241,05286424,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,77,D,77,D,77,D,,A,1,D,1,,A,,A,,A
20241,05286424,33,0,1,,A,1,D,,A,1,D,1,D,,A,69,E,70,E,68,E,128,E,125,E,129,E,85,E,87,E,85,E,,A,,A,,A,2,D,1,D,1,,A,,A,,A
20241,05286444,43,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,129,D,129,D,129,D,,A,1,D,3,,A,,A,,A
20241,05286444,44,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,151,D,151,D,151,D,,A,,A,,A,,A,,A,,A,,A,2,D,3,,A,,A,,A
20241,05286444,45,0,1,,A,,A,,A,1,D,2,D,,A,50,D,50,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,4,,A,,A,,A
