QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,PRPYCELL,PRPY_ELL,PRPYCLX,PRPYCLX_
20241,05286244,29,0,1,,2,D,,A,2,D,,A
20241,05286294,39,0,1,,2,D,,A,2,D,,A
20241,05286304,42,0,1,,2,D,,A,2,D,,A
20241,05286334,42,0,1,,2,D,,A,2,D,,A
20241,05286344,46,0,1,,2,D,,A,2,D,,A
20241,05286374,32,0,1,,2,D,,A,2,D,,A
20241,05286424,37,0,1,,2,D,,A,2,D,,A
20241,05286444,51,0,1,,2,D,,A,2,D,,A
20241,05286504,26,0,1,,2,D,,A,2,D,,A
20241,05286514,40,0,1,,2,D,,A,2,D,,A
20241,05286544,22,0,1,,2,D,,A,2,D,,A
20241,05286634,65,0,1,,2,D,,A,2,D,,A
20241,05286694,42,0,1,,2,D,,A,2,D,,A
20241,05286704,39,0,1,,2,D,,A,2,D,,A
20241,05286734,44,0,1,,2,D,,A,2,D,,A
20241,05286774,28,0,1,,2,D,,A,2,D,,A
20241,05286784,31,0,1,,2,D,,A,2,D,,A
20241,05286794,41,0,1,,2,D,,A,2,D,,A
20241,05286814,24,0,1,,2,D,,A,2,D,,A
20241,05286894,32,0,1,,2,D,,A,2,D,,A
20241,05286904,31,0,1,,2,D,,A,2,D,,A
20241,05286974,39,0,1,,2,D,,A,2,D,,A
20241,05286984,33,0,1,,2,D,,A,2,D,,A
20241,05286994,28,0,1,,2,D,,A,2,D,,A
20241,05287004,38,0,1,,2,D,,A,2,D,,A
20241,05287024,32,0,1,,2,D,,A,2,D,,A
20241,05287044,23,0,1,,2,D,,A,2,D,,A
20241,05287054,37,0,1,,2,D,,A,2,D,,A
20241,05287094,33,0,1,,2,D,,A,2,D,,A
20241,05287114,39,0,1,,2,D,,A,2,D,,A
20241,05287124,21,0,1,,2,D,,A,2,D,,A
20241,05287144,21,0,1,,2,D,,A,2,D,,A
20241,05287174,17,0,1,,2,D,,A,2,D,,A
20241,05287204,44,0,1,,2,D,,A,2,D,,A
20241,05287224,9,0,1,,2,D,,A,2,D,,A
20241,05287294,16,0,1,,2,D,,A,2,D,,A
20241,05287314,45,0,1,,2,D,,A,2,D,,A
20241,05287354,27,0,1,,2,D,,A,2,D,,A
20241,05287364,13,0,1,,2,D,,A,2,D,,A
20241,05287414,43,0,1,,2,D,,A,2,D,,A
20241,05287424,29,0,1,,2,D,,A,2,D,,A
20241,05287524,38,0,1,,2,D,,A,2,D,,A
20241,05287554,34,0,1,,2,D,,A,2,D,,A
20241,05287574,23,0,1,,2,D,,A,2,D,,A
20241,05287614,29,0,1,,2,D,,A,1,D,100,D
20241,05287664,14,0,1,,2,D,,A,2,D,,A
20241,05287684,15,0,1,,2,D,,A,2,D,,A
20241,05287714,44,0,1,,2,D,,A,2,D,,A
20241,05287754,18,0,1,,2,D,,A,2,D,,A
20241,05287774,38,0,1,,2,D,,A,2,D,,A
20241,05287784,13,0,1,,2,D,,A,2,D,,A
20241,05287804,37,0,1,,2,D,,A,2,D,,A
20241,05287834,46,0,1,,2,D,,A,2,D,,A
20241,05287874,25,0,1,,2,D,,A,2,D,,A
20241,05287894,42,0,1,,2,D,,A,2,D,,A
20241,05287944,21,0,1,,2,D,,A,2,D,,A
20241,05287954,18,0,1,,2,D,,A,2,D,,A
20241,05287994,24,0,1,,2,D,,A,2,D,,A
20241,05288104,27,0,1,,2,D,,A,2,D,,A
20241,05288114,29,0,1,,2,D,,A,2,D,,A
20241,05288124,39,0,1,,2,D,,A,2,D,,A
20241,05288174,20,0,1,,2,D,,A,2,D,,A
20241,05288184,29,0,1,,2,D,,A,2,D,,A
20241,05288214,38,0,1,,2,D,,A,2,D,,A
20241,05288254,23,0,1,,2,D,,A,2,D,,A
20241,05288264,36,0,1,,2,D,,A,2,D,,A
20241,05288324,23,0,1,,2,D,,A,2,D,,A
20241,05288334,17,0,1,,2,D,,A,2,D,,A
20241,05288354,46,0,1,,2,D,,A,2,D,,A
20241,05288404,31,0,1,,2,D,,A,2,D,,A
20241,05288494,34,0,1,,2,D,,A,2,D,,A
20241,05288544,41,0,1,,2,D,,A,2,D,,A
20241,05288564,9,0,1,,2,D,,A,2,D,,A
20241,05288604,22,0,1,,2,D,,A,2,D,,A
20241,05288624,11,0,1,,2,D,,A,2,D,,A
20241,05288664,40,0,1,,2,D,,A,2,D,,A
20241,05288674,43,0,1,,2,D,,A,2,D,,A
20241,05288694,34,0,1,,2,D,,A,2,D,,A
20241,05288704,51,0,1,,2,D,,A,2,D,,A
20241,05288714,28,0,1,,2,D,,A,2,D,,A
20241,05288744,19,0,1,,2,D,,A,2,D,,A
20241,05288764,27,0,1,,2,D,,A,2,D,,A
20241,05288854,24,0,1,,2,D,,A,2,D,,A
20241,05288864,18,0,1,,2,D,,A,2,D,,A
20241,05288884,50,0,1,,2,D,,A,2,D,,A
20241,05288894,30,0,1,,2,D,,A,2,D,,A
20241,05288944,21,0,1,,2,D,,A,2,D,,A
20241,05288954,59,0,1,,2,D,,A,2,D,,A
20241,05289004,18,0,1,,2,D,,A,2,D,,A
20241,05289024,30,0,1,,2,D,,A,2,D,,A
20241,05289044,49,0,1,,2,D,,A,2,D,,A
20241,05289064,38,0,1,,2,D,,A,1,D,90,D
20241,05289074,21,0,1,,2,D,,A,2,D,,A
20241,05289114,33,0,1,,2,D,,A,2,D,,A
20241,05289124,38,0,1,,2,D,,A,2,D,,A
20241,05289154,37,0,1,,2,D,,A,2,D,,A
20241,05289204,32,0,1,,2,D,,A,2,D,,A
20241,05289214,33,0,1,,2,D,,A,2,D,,A
20241,05289224,20,0,1,,2,D,,A,2,D,,A
20241,05289264,14,0,1,,2,D,,A,2,D,,A
20241,05289334,22,0,1,,2,D,,A,2,D,,A
20241,05289444,30,0,1,,2,D,,A,2,D,,A
20241,05289464,15,0,1,,2,D,,A,2,D,,A
20241,05289474,27,0,1,,2,D,,A,2,D,,A
20241,05289494,55,0,1,,2,D,,A,2,D,,A
20241,05289564,28,0,1,,2,D,,A,2,D,,A
20241,05289574,38,0,1,,2,D,,A,2,D,,A
20241,05289684,17,0,1,,2,D,,A,2,D,,A
20241,05289694,26,0,1,,2,D,,A,2,D,,A
20241,05289734,20,0,1,,2,D,,A,2,D,,A
20241,05289764,40,0,1,,2,D,,A,2,D,,A
20241,05289774,33,0,1,,2,D,,A,2,D,,A
20241,05289854,16,0,1,,2,D,,A,2,D,,A
20241,05289864,35,0,1,,2,D,,A,2,D,,A
20241,05289894,21,0,1,,2,D,,A,2,D,,A
20241,05289904,34,0,1,,2,D,,A,2,D,,A
20241,05289984,23,0,1,,2,D,,A,2,D,,A
20241,05290044,29,0,1,,2,D,,A,2,D,,A
20241,05290054,17,0,1,,2,D,,A,2,D,,A
20241,05290094,38,0,1,,2,D,,A,2,D,,A
20241,05290104,18,0,1,,2,D,,A,2,D,,A
20241,05290144,36,0,1,,2,D,,A,2,D,,A
20241,05290184,21,0,1,,2,D,,A,2,D,,A
20241,05290194,43,0,1,,2,D,,A,2,D,,A
20241,05290234,34,0,1,,2,D,,A,2,D,,A
20241,05290244,57,0,1,,2,D,,A,2,D,,A
20241,05290254,62,0,1,,2,D,,A,2,D,,A
20241,05290264,27,0,1,,2,D,,A,2,D,,A
20241,05290304,26,0,1,,2,D,,A,2,D,,A
20241,05290384,20,0,1,,2,D,,A,2,D,,A
20241,05290414,91,0,1,,2,D,,A,2,D,,A
20241,05290424,43,0,1,,2,D,,A,2,D,,A
20241,05290444,17,0,1,,2,D,,A,2,D,,A
20241,05290504,23,0,1,,2,D,,A,2,D,,A
20241,05290514,52,0,1,,2,D,,A,2,D,,A
20241,05290524,33,0,1,,2,D,,A,2,D,,A
20241,05290534,54,0,1,,2,D,,A,2,D,,A
20241,05290544,20,0,1,,2,D,,A,2,D,,A
20241,05290554,17,0,1,,2,D,,A,2,D,,A
20241,05290624,24,0,1,,2,D,,A,2,D,,A
20241,05290644,22,0,1,,2,D,,A,2,D,,A
20241,05290704,47,0,1,,2,D,,A,2,D,,A
20241,05290714,11,0,1,,2,D,,A,2,D,,A
20241,05290734,19,0,1,,2,D,,A,2,D,,A
20241,05290754,35,0,1,,2,D,,A,2,D,,A
20241,05290764,45,0,1,,2,D,,A,2,D,,A
20241,05290784,20,0,1,,2,D,,A,2,D,,A
20241,05290804,23,0,1,,2,D,,A,2,D,,A
20241,05290824,52,0,1,,2,D,,A,2,D,,A
20241,05290884,27,0,1,,2,D,,A,2,D,,A
20241,05290914,36,0,1,,2,D,,A,2,D,,A
20241,05290924,58,0,1,,2,D,,A,2,D,,A
20241,05290964,18,0,1,,2,D,,A,2,D,,A
20241,05290984,37,0,1,,2,D,,A,2,D,,A
20241,05290994,35,0,1,,2,D,,A,2,D,,A
20241,05291004,37,0,1,,2,D,,A,2,D,,A
