QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JGASOXQV,JGAS_XQV,JDIESXQV,JDIE_XQV,JELEXQV,JELEXQV_,JETHXQV,JETHXQV_,QADELEX,QADELEX_,QADETHX,QADETHX_,QELEDDZ,QELEDDZ_,VOPELBPR,VOPELBS,VOPELBS_,VOPELEC,VOPELECX,VOPELEC_,VOPETH,VOPETHX,VOPETHX_,VOPETH_,VOPE_BPR,VOPE_ECX,CHGPURCH
20241,05286244,30,0,1,90,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286294,40,0,1,1500,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286304,43,0,1,675,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286334,43,0,1,45,D,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20241,05286344,47,0,1,1230,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286374,33,0,1,960,D,90,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286424,38,0,1,399,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286444,52,0,1,87,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286504,27,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286514,41,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286544,23,0,1,45,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286634,66,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286694,43,0,1,582,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286704,40,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286734,45,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286774,29,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286784,32,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286794,42,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286814,25,0,1,300,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286894,33,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286904,32,0,1,720,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286974,40,0,1,309,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286984,34,0,1,600,D,300,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05286994,29,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287004,39,0,1,138,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287024,33,0,1,660,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287044,24,0,1,525,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287054,38,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287094,34,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287114,40,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287124,22,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287144,22,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287174,18,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287204,45,0,1,825,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287224,10,0,1,180,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287294,17,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,2,,D,,,A,A,A,A,
20241,05287314,46,0,1,480,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287354,28,0,1,300,D,300,D,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287364,14,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287414,44,0,1,150,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287424,30,0,1,360,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287524,39,0,1,1350,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287554,35,0,1,291,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287574,24,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287614,30,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287664,15,0,1,198,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287684,16,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287714,45,0,1,870,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287754,19,0,1,660,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287774,39,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287784,14,0,1,240,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287804,38,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287834,47,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287874,26,0,1,600,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287894,43,0,1,750,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287944,22,0,1,,A,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287954,19,0,1,900,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05287994,25,0,1,60,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05288104,28,0,1,114,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05288114,30,0,1,450,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
20241,05288124,40,0,1,1200,D,,A,,A,,A,,A,,A,1,D,,,A,,,A,,,A,A,A,A,
