QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VQBCODE,VQBCODE_,VQBLABOR,VQBL_BOR,VQBMO,VQBMO_,VQBEXPX,VQBEXPX_,VQBPURCH
20241,05286244,31,0,1,367,D,1,D,13,D,100,D,
20241,05286304,44,0,1,250,D,,A,11,D,25,D,
20241,05286334,44,0,1,190,D,2,D,12,D,3,D,
20241,05286344,48,0,1,420,D,,A,12,D,240,D,
20241,05286344,49,0,1,420,D,,A,10,D,200,D,
20241,05286344,50,0,1,190,D,1,D,10,D,1100,D,
20241,05286344,51,0,1,367,D,1,D,13,D,50,D,
20241,05286344,52,0,1,367,D,1,D,13,D,20,D,
20241,05286424,39,0,1,410,D,,A,12,D,35,D,
20241,05286424,40,0,1,190,D,1,D,12,D,75,D,
20241,05286424,41,0,1,190,D,1,D,12,D,15,D,
20241,05286424,42,0,1,250,D,,A,11,D,30,D,
20241,05286424,43,0,1,260,D,,A,10,D,39,D,
20241,05286424,44,0,2,210,D,,A,10,D,73,D,
20241,05286444,53,0,1,190,D,1,D,12,D,323,D,
20241,05286444,54,0,1,420,D,,A,12,D,158,D,
20241,05286514,42,0,1,367,D,1,D,13,D,20,D,
20241,05286514,43,0,1,190,D,1,D,10,D,150,D,
20241,05286514,44,0,1,190,D,1,D,12,D,150,D,
20241,05286634,67,0,1,200,D,,A,13,D,47,D,
20241,05286634,68,0,1,190,D,2,D,12,D,12,D,
20241,05286694,44,0,1,410,D,,A,12,D,72,D,
20241,05286694,45,0,1,190,D,1,D,12,D,72,D,
20241,05286704,41,0,2,140,D,,A,10,D,220,D,
20241,05286734,46,0,1,367,D,1,D,13,D,52,D,
20241,05286734,47,0,1,190,D,1,D,11,D,70,D,
20241,05286734,48,0,1,260,D,,A,13,D,25,D,
20241,05286774,30,0,1,410,D,,A,11,D,25,F,
20241,05286784,33,0,1,420,D,,A,11,D,280,D,
20241,05286784,34,0,1,260,D,,A,13,D,10,D,
20241,05286794,43,0,1,210,D,,A,12,D,200,D,
20241,05286794,44,0,1,367,D,1,D,13,D,30,D,
20241,05286814,26,0,1,250,D,,A,12,D,25,D,
20241,05286894,34,0,1,420,D,,A,11,D,85,D,
20241,05286904,33,0,1,410,D,,A,10,D,40,D,
20241,05286904,34,0,1,410,D,,A,11,D,80,D,
20241,05286904,35,0,1,420,D,,A,10,D,220,D,
20241,05286904,36,0,1,420,D,,A,11,D,90,D,
20241,05286974,41,0,1,140,D,,A,10,D,20,D,
20241,05286974,42,0,1,250,D,,A,12,D,10,D,
20241,05286974,43,0,2,250,D,,A,10,D,28,D,
20241,05286984,35,0,1,367,D,1,D,10,D,75,D,
20241,05286984,36,0,1,190,D,1,D,10,D,80,D,
20241,05286984,37,0,1,190,D,1,D,10,D,96,D,
20241,05286984,38,0,1,190,D,1,D,10,D,136,D,
20241,05286984,39,0,1,190,D,1,D,10,D,275,D,
20241,05286984,40,0,1,190,D,1,D,10,D,28,D,
20241,05286994,30,0,2,260,D,,A,10,D,34,D,
20241,05287004,40,0,1,190,D,1,D,13,D,193,D,
20241,05287024,34,0,1,190,D,1,D,12,D,126,D,
20241,05287024,35,0,1,190,D,1,D,12,D,155,D,
20241,05287024,36,0,1,250,D,,A,11,D,40,D,
20241,05287024,37,0,1,260,D,,A,11,D,10,D,
20241,05287044,25,0,1,140,D,,A,12,D,1095,D,
20241,05287054,39,0,1,140,D,,A,12,D,1000,D,
20241,05287054,40,0,1,140,D,,A,12,D,100,D,
20241,05287054,41,0,1,240,D,2,D,12,D,160,D,
20241,05287094,35,0,1,260,D,,A,10,D,20,D,
20241,05287174,19,0,1,140,D,,A,10,D,250,D,
20241,05287174,20,0,1,260,D,,A,10,D,350,D,
20241,05287314,47,0,1,250,D,,A,11,D,12,D,
20241,05287414,45,0,1,367,D,1,D,13,D,45,D,
20241,05287414,46,0,1,367,D,1,D,13,D,20,D,
20241,05287414,47,0,1,420,D,,A,12,D,534,D,
