QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VTRCODE,VTRCODE_,VTRMO,VTRMO_,VTREXPX,VTREXPX_,VTRLIMO,VTRLIMO_,VTRPURCH
20241,05286344,53,0,1,100,D,11,D,70,D,,A,
20241,05286344,54,0,1,100,D,12,D,70,D,,A,
20241,05286774,31,0,1,100,D,13,D,80,D,,A,
20241,05287114,41,0,1,100,D,12,D,20,D,,A,
20241,05287144,23,0,1,100,D,13,D,90,D,,A,
20241,05287944,23,0,1,100,D,13,D,200,D,,A,
20241,05288864,22,0,1,100,D,12,D,30,D,,A,
20241,05288944,23,0,1,100,D,10,D,49,D,,A,
20241,05288944,24,0,1,100,D,11,D,56,D,,A,
20241,05288944,25,0,1,100,D,12,D,23,D,,A,
20241,05289154,42,0,1,100,D,10,D,50,D,,A,
20241,05289264,16,0,1,100,D,13,D,40,D,,A,
20241,05289464,21,0,2,100,D,10,D,65,D,2,D,1
20241,05290244,64,0,1,100,D,12,D,67,D,,A,
20241,05290534,56,0,1,100,D,12,D,60,D,,A,
20241,05290544,22,0,1,100,D,11,D,7,D,,A,
20241,05290624,26,0,1,100,D,13,D,200,D,,A,
20241,05290644,27,0,1,100,D,13,D,20,D,2,D,1
20241,05290914,38,0,2,100,D,10,D,700,D,,A,
20241,05290994,37,0,1,100,D,13,D,200,D,,A,
20241,05291004,41,0,1,100,D,11,D,120,D,,A,
20241,05291004,42,0,2,100,D,10,D,53,D,,A,
20241,05291074,48,0,1,100,D,13,D,160,D,,A,
20241,05291074,49,0,2,100,D,10,D,400,D,,A,
20241,05291094,48,0,1,100,D,12,D,100,F,,A,
20241,05291094,49,0,1,100,D,11,D,40,F,,A,
20241,05291494,61,0,1,100,D,13,D,80,D,,A,
20241,05291884,21,0,1,100,D,13,D,40,D,,A,
20241,05292234,25,0,1,100,D,13,D,300,D,,A,
20241,05292544,103,0,1,100,D,11,D,40,D,,A,
20241,05293014,65,0,1,100,D,10,D,70,D,,A,
20241,05293014,66,0,1,100,D,11,D,50,D,,A,
20241,05293084,19,0,1,100,D,12,D,40,D,,A,
20241,05293344,13,0,1,100,D,13,D,53,D,,A,
20241,05293604,52,0,1,100,D,10,D,123,D,,A,
20241,05294084,51,0,2,100,D,10,D,17,D,,A,
20241,05294434,13,0,1,100,D,10,D,50,D,,A,
20241,05294434,14,0,1,100,D,11,D,50,D,,A,
20241,05294434,15,0,1,100,D,12,D,25,D,,A,
20241,05294514,9,0,1,100,D,12,D,48,D,,A,
