QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,WIGSX,WIGSX_,JMLPAYQV,JMLP_YQV
20241,05286244,32,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05286294,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286304,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286334,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286344,55,0,1,,A,,A,,A,,A,180,D,30,D,110,D,,A,,A
20241,05286374,34,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05286424,45,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05286444,55,0,1,,A,,A,,A,,A,,A,,A,226,D,,A,,A
20241,05286504,28,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05286514,45,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20241,05286544,24,0,1,,A,,A,,A,24,D,,A,30,F,30,D,,A,,A
20241,05286634,69,0,1,,A,,A,,A,,A,15,D,9,D,92,D,,A,,A
20241,05286694,46,0,1,,A,,A,,A,,A,,A,,A,57,D,,A,,A
20241,05286704,42,0,1,,A,,A,,A,,A,,A,,A,375,D,,A,,A
20241,05286734,49,0,1,,A,,A,,A,,A,120,D,,A,400,D,,A,,A
20241,05286774,32,0,1,,A,,A,,A,,A,70,D,,A,80,D,300,D,,A
20241,05286784,35,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05286794,45,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05286814,27,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05286894,35,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20241,05286904,37,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05286974,44,0,1,10,D,,A,,A,0,D,,A,,A,80,D,,A,,A
20241,05286984,41,0,1,,A,,A,,A,,A,60,D,,A,,A,,A,,A
20241,05286994,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287004,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287024,38,0,1,,A,10,D,,A,,A,40,D,,A,25,D,,A,,A
20241,05287044,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287054,42,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287094,36,0,1,,A,,A,,A,240,D,,A,,A,,A,,A,,A
20241,05287114,42,0,1,,A,,A,,A,,A,,A,,A,225,D,,A,,A
20241,05287124,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287144,24,0,1,,A,,A,,A,,A,,A,,A,600,D,,A,,A
20241,05287174,21,0,1,,A,,A,,A,20,D,,A,,A,25,D,,A,,A
20241,05287204,46,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287224,11,0,1,,A,,A,,A,,A,,A,,A,38,D,,A,,A
20241,05287294,18,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287314,48,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05287354,29,0,1,,A,,A,,A,,A,,A,,A,25,D,,A,,A
20241,05287364,15,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287414,48,0,1,,A,,A,,A,,A,,A,,A,270,D,,A,,A
20241,05287424,32,0,1,,A,,A,,A,,A,,A,,A,660,D,,A,,A
20241,05287524,42,0,1,,A,,A,,A,,A,,A,,A,125,D,,A,,A
20241,05287554,36,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287574,26,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287614,31,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05287664,16,0,1,,A,,A,,A,40,D,,A,,A,30,D,,A,,A
20241,05287684,17,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287714,47,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05287754,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287774,41,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20241,05287784,17,0,1,,A,,A,,A,,A,,A,,A,44,D,,A,,A
20241,05287804,41,0,1,,A,,A,,A,,A,,A,15,D,160,D,,A,,A
20241,05287834,48,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287874,27,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05287894,45,0,1,,A,,A,,A,,A,,A,,A,45,D,,A,,A
20241,05287944,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287954,20,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05287994,28,0,1,,A,,A,,A,,A,,A,,A,16,D,,A,,A
20241,05288104,30,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288114,31,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288124,45,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288174,24,0,1,,A,,A,,A,84,D,,A,,A,,A,,A,,A
20241,05288184,34,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05288214,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288254,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288264,39,0,1,,A,,A,,A,,A,,A,,A,500,D,,A,,A
20241,05288324,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288334,20,0,1,,A,,A,,A,28,D,,A,,A,40,D,,A,,A
20241,05288354,49,0,1,,A,,A,,A,,A,,A,,A,140,D,,A,,A
20241,05288404,34,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05288494,37,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05288544,47,0,1,,A,,A,,A,,A,,A,,A,500,D,,A,,A
20241,05288564,11,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288604,24,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20241,05288624,13,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288664,45,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05288674,47,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288694,36,0,1,,A,,A,,A,,A,,A,,A,120,D,,A,,A
20241,05288704,53,0,1,,A,,A,,A,,A,,A,,A,75,D,,A,,A
20241,05288714,30,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,,A
20241,05288744,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288764,29,0,1,,A,,A,,A,50,D,,A,,A,60,D,,A,,A
20241,05288854,26,0,1,,A,,A,,A,,A,,A,,A,240,D,,A,,A
20241,05288864,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288884,54,0,1,,A,,A,,A,,A,,A,,A,150,D,,A,,A
20241,05288894,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05288944,26,0,1,250,D,,A,,A,170,D,,A,,A,1200,D,,A,,A
20241,05288954,66,0,1,20,D,,A,,A,0,D,,A,,A,490,D,,A,,A
20241,05289004,20,0,1,,A,,A,,A,,A,,A,105,D,110,D,,A,,A
20241,05289024,36,0,1,,A,,A,,A,,A,,A,39,D,25,D,,A,,A
20241,05289044,52,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05289064,40,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289074,24,0,1,,A,,A,,A,,A,,A,18,D,150,D,,A,,A
20241,05289114,37,0,1,,A,,A,,A,,A,,A,150,D,25,D,,A,,A
20241,05289124,41,0,1,,A,,A,,A,,A,40,D,,A,200,D,,A,,A
20241,05289154,43,0,1,,A,,A,,A,5,D,,A,90,D,60,D,,A,,A
20241,05289204,35,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289214,35,0,1,,A,,A,,A,,A,,A,180,D,,A,,A,,A
20241,05289224,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289264,17,0,1,,A,,A,,A,120,D,,A,,A,150,D,,A,,A
20241,05289334,24,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289444,34,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289464,22,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289474,30,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05289494,62,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20241,05289564,31,0,1,10,D,,A,,A,50,D,,A,,A,30,D,,A,,A
20241,05289574,41,0,1,,A,,A,,A,,A,,A,,A,60,D,,A,,A
20241,05289684,19,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289694,30,0,1,,A,,A,,A,,A,150,D,,A,60,D,,A,,A
20241,05289734,22,0,1,,A,,A,,A,,A,,A,,A,40,D,,A,,A
20241,05289764,46,0,1,,A,,A,,A,,A,,A,,A,180,D,,A,260,D
20241,05289774,37,0,1,,A,,A,,A,,A,,A,,A,30,D,,A,,A
20241,05289854,18,0,1,,A,,A,,A,,A,,A,3,D,,A,,A,,A
20241,05289864,42,0,1,,A,,A,,A,,A,,A,,A,14,D,,A,,A
20241,05289894,25,0,1,,A,,A,,A,,A,,A,,A,100,D,,A,,A
20241,05289904,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05289984,25,0,1,,A,,A,,A,,A,,A,,A,50,D,,A,,A
20241,05290044,32,0,1,,A,,A,,A,,A,,A,,A,200,D,,A,,A
20241,05290054,20,0,1,,A,,A,,A,,A,,A,,A,65,D,,A,,A
20241,05290094,41,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290104,21,0,1,,A,,A,,A,,A,,A,,A,38,D,,A,,A
20241,05290144,38,0,1,,A,,A,,A,,A,,A,,A,55,D,,A,,A
20241,05290184,24,0,1,,A,,A,,A,30,D,,A,,A,33,D,,A,,A
20241,05290194,46,0,1,,A,,A,,A,,A,,A,,A,300,D,,A,,A
20241,05290234,36,0,1,,A,,A,,A,240,D,,A,270,D,60,D,,A,,A
20241,05290244,65,0,1,,A,,A,,A,,A,,A,,A,85,D,,A,,A
20241,05290254,68,0,1,,A,,A,,A,,A,,A,,A,220,F,,A,,A
20241,05290264,29,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290304,29,0,1,,A,,A,,A,,A,,A,,A,24,D,,A,,A
20241,05290384,23,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A
20241,05290414,102,0,1,,A,,A,,A,,A,,A,,A,230,D,,A,,A
