NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286244,10,2023,005100,2,3500.0000,
05286244,10,2023,005110,2,3083.3333,
05286244,10,2023,900090,2,133.3333,
05286244,10,2023,900170,2,150.0000,
05286244,10,2023,900180,2,9.0000,
05286244,10,2023,900210,2,166.6667,
05286244,10,2023,980000,2,459.0000,
05286244,10,2023,980010,2,0.0833,
05286244,10,2023,980020,2,5.5833,
05286244,10,2023,980040,2,0.0833,
05286244,10,2023,980060,2,0.0833,
05286244,10,2023,980071,2,459.0000,
05286244,10,2023,980220,2,8.3333,
05286244,10,2023,980260,2,8.3333,
05286244,10,2023,980270,2,8.3333,
05286244,10,2023,980286,2,8.3333,
05286244,10,2023,980300,2,8.3333,
05286244,10,2023,980330,2,8.3333,
05286244,10,2023,980350,2,8.3333,
05286244,11,2023,005100,2,3500.0000,
05286244,11,2023,005110,2,3083.3333,
05286244,11,2023,900090,2,133.3333,
05286244,11,2023,900170,2,150.0000,
05286244,11,2023,900180,2,9.0000,
05286244,11,2023,900210,2,166.6667,
05286244,11,2023,980000,2,459.0000,
05286244,11,2023,980010,2,0.0833,
05286244,11,2023,980020,2,5.5833,
05286244,11,2023,980040,2,0.0833,
05286244,11,2023,980060,2,0.0833,
05286244,11,2023,980071,2,459.0000,
05286244,11,2023,980220,2,8.3333,
05286244,11,2023,980260,2,8.3333,
05286244,11,2023,980270,2,8.3333,
05286244,11,2023,980286,2,8.3333,
05286244,11,2023,980300,2,8.3333,
05286244,11,2023,980330,2,8.3333,
05286244,11,2023,980350,2,8.3333,
05286244,12,2023,005100,2,3500.0000,
05286244,12,2023,005110,2,3083.3333,
05286244,12,2023,900090,2,133.3333,
05286244,12,2023,900170,2,150.0000,
05286244,12,2023,900180,2,9.0000,
05286244,12,2023,900210,2,166.6667,
05286244,12,2023,980000,2,459.0000,
05286244,12,2023,980010,2,0.0833,
05286244,12,2023,980020,2,5.5833,
05286244,12,2023,980040,2,0.0833,
05286244,12,2023,980060,2,0.0833,
05286244,12,2023,980071,2,459.0000,
05286244,12,2023,980220,2,8.3333,
05286244,12,2023,980260,2,8.3333,
05286244,12,2023,980270,2,8.3333,
05286244,12,2023,980286,2,8.3333,
05286244,12,2023,980300,2,8.3333,
05286244,12,2023,980330,2,8.3333,
05286244,12,2023,980350,2,8.3333,
05286294,10,2023,005100,2,16166.6667,
05286294,10,2023,005110,2,12333.3333,
05286294,10,2023,005300,2,16666.6667,
05286294,10,2023,005310,2,14166.6667,
05286294,10,2023,005700,2,5000.0000,
05286294,10,2023,005710,2,1970.8333,
05286294,10,2023,005800,2,5000.0000,
05286294,10,2023,005810,2,4250.0000,
05286294,10,2023,800940,2,1380.5000,
05286294,10,2023,900000,2,20166.6667,
05286294,10,2023,900180,2,375.0000,
05286294,10,2023,950004,2,3384.5833,
05286294,10,2023,950014,2,762.2500,
