NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05411714,01,2024,800940,2,643.2500,
05411714,02,2024,800940,2,643.2500,
05411714,03,2024,800940,2,643.2500,
05411714,01,2024,900000,2,8408.5833,
05411714,02,2024,900000,2,8408.5833,
05411714,03,2024,900000,2,8408.5833,
05411714,01,2024,980000,2,8408.5833,
05411714,02,2024,980000,2,8408.5833,
05411714,03,2024,980000,2,8408.5833,
05411714,01,2024,980010,2,0.0833,
05411714,02,2024,980010,2,0.0833,
05411714,03,2024,980010,2,0.0833,
05411714,01,2024,980020,2,2.5833,
05411714,02,2024,980020,2,2.5833,
05411714,03,2024,980020,2,2.5833,
05411714,01,2024,980030,2,0.0833,
05411714,02,2024,980030,2,0.0833,
05411714,03,2024,980030,2,0.0833,
05411714,01,2024,980040,2,0.0833,
05411714,02,2024,980040,2,0.0833,
05411714,03,2024,980040,2,0.0833,
05411714,01,2024,980071,1,8391.1667,
05411714,02,2024,980071,1,8391.1667,
05411714,03,2024,980071,1,8391.1667,
05411714,01,2024,980210,2,8.3333,
05411714,02,2024,980210,2,8.3333,
05411714,03,2024,980210,2,8.3333,
05411714,01,2024,980260,2,8.3333,
05411714,02,2024,980260,2,8.3333,
05411714,03,2024,980260,2,8.3333,
05411714,01,2024,980282,2,8.3333,
05411714,02,2024,980282,2,8.3333,
05411714,03,2024,980282,2,8.3333,
05411714,01,2024,980286,2,8.3333,
05411714,02,2024,980286,2,8.3333,
05411714,03,2024,980286,2,8.3333,
05411714,01,2024,980310,2,8.3333,
05411714,02,2024,980310,2,8.3333,
05411714,03,2024,980310,2,8.3333,
05411714,01,2024,980330,2,8.3333,
05411714,02,2024,980330,2,8.3333,
05411714,03,2024,980330,2,8.3333,
05411714,01,2024,980350,2,8.3333,
05411714,02,2024,980350,2,8.3333,
05411714,03,2024,980350,2,8.3333,
05411724,01,2024,005200,2,8333.3333,
05411724,02,2024,005200,2,8333.3333,
05411724,03,2024,005200,2,8333.3333,
05411724,01,2024,005210,2,6666.6667,
05411724,02,2024,005210,2,6666.6667,
05411724,03,2024,005210,2,6666.6667,
05411724,01,2024,005400,2,166.6667,
05411724,02,2024,005400,2,166.6667,
05411724,03,2024,005400,2,166.6667,
05411724,01,2024,005410,2,833.3333,
05411724,02,2024,005410,2,833.3333,
05411724,03,2024,005410,2,833.3333,
05411724,01,2024,800932,2,250.0000,
05411724,02,2024,800932,2,250.0000,
05411724,03,2024,800932,2,250.0000,
05411724,01,2024,800940,2,692.3333,
05411724,02,2024,800940,2,692.3333,
05411724,03,2024,800940,2,692.3333,
05411724,01,2024,900000,2,8383.3333,
05411724,02,2024,900000,2,8383.3333,
05411724,03,2024,900000,2,8383.3333,
05411724,01,2024,900160,2,333.3333,
05411724,02,2024,900160,2,333.3333,
05411724,03,2024,900160,2,333.3333,
05411724,01,2024,900180,2,66.6667,
05411724,02,2024,900180,2,66.6667,
05411724,03,2024,900180,2,66.6667,
05411724,01,2024,980000,2,8783.3333,
05411724,02,2024,980000,2,8783.3333,
05411724,03,2024,980000,2,8783.3333,
05411724,01,2024,980010,2,0.2500,
05411724,02,2024,980010,2,0.2500,
05411724,03,2024,980010,2,0.2500,
05411724,01,2024,980020,2,2.8333,
05411724,02,2024,980020,2,2.8333,
05411724,03,2024,980020,2,2.8333,
05411724,01,2024,980030,2,0.1667,
05411724,02,2024,980030,2,0.1667,
05411724,03,2024,980030,2,0.1667,
05411724,01,2024,980040,2,0.2500,
05411724,02,2024,980040,2,0.2500,
05411724,03,2024,980040,2,0.2500,
05411724,01,2024,980050,2,0.0833,
05411724,02,2024,980050,2,0.0833,
05411724,03,2024,980050,2,0.0833,
05411724,01,2024,980071,1,8783.3333,
05411724,02,2024,980071,1,8783.3333,
05411724,03,2024,980071,1,8783.3333,
05411724,01,2024,980090,1,8.3333,
05411724,02,2024,980090,1,8.3333,
05411724,03,2024,980090,1,8.3333,
05411724,01,2024,980210,2,8.3333,
05411724,02,2024,980210,2,8.3333,
05411724,03,2024,980210,2,8.3333,
05411724,01,2024,980230,2,8.3333,
05411724,02,2024,980230,2,8.3333,
05411724,03,2024,980230,2,8.3333,
05411724,01,2024,980282,2,8.3333,
05411724,02,2024,980282,2,8.3333,
05411724,03,2024,980282,2,8.3333,
05411724,01,2024,980286,2,8.3333,
05411724,02,2024,980286,2,8.3333,
05411724,03,2024,980286,2,8.3333,
05411724,01,2024,980310,2,8.3333,
05411724,02,2024,980310,2,8.3333,
05411724,03,2024,980310,2,8.3333,
05411724,01,2024,980330,2,8.3333,
05411724,02,2024,980330,2,8.3333,
05411724,03,2024,980330,2,8.3333,
05411724,01,2024,980350,2,8.3333,
05411724,02,2024,980350,2,8.3333,
05411724,03,2024,980350,2,8.3333,
05411734,01,2024,005100,2,1166.6667,
05411734,02,2024,005100,2,1166.6667,
05411734,03,2024,005100,2,1166.6667,
05411734,01,2024,005110,2,833.3333,
05411734,02,2024,005110,2,833.3333,
05411734,03,2024,005110,2,833.3333,
05411734,01,2024,005400,2,250.0000,
05411734,02,2024,005400,2,250.0000,
05411734,03,2024,005400,2,250.0000,
05411734,01,2024,005410,2,500.0000,
05411734,02,2024,005410,2,500.0000,
05411734,03,2024,005410,2,500.0000,
05411734,01,2024,005500,2,1833.3333,
05411734,02,2024,005500,2,1833.3333,
05411734,03,2024,005500,2,1833.3333,
05411734,01,2024,005510,2,1833.3333,
05411734,02,2024,005510,2,1833.3333,
05411734,03,2024,005510,2,1833.3333,
05411734,01,2024,900030,2,5349.3333,
05411734,02,2024,900030,2,5349.3333,
05411734,03,2024,900030,2,5349.3333,
