NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
05286244,10,2023,900090,2,,1,133.3333
05286244,10,2023,900090,2,,2,133.3333
05286244,10,2023,900090,2,,3,133.3333
05286244,10,2023,900090,2,,4,133.3333
05286244,10,2023,900090,2,,5,133.3333
05286244,10,2023,900170,2,,1,150
05286244,10,2023,900170,2,,2,150
05286244,10,2023,900170,2,,3,150
05286244,10,2023,900170,2,,4,150
05286244,10,2023,900170,2,,5,150
05286244,10,2023,900180,2,,1,9
05286244,10,2023,900180,2,,2,9
05286244,10,2023,900180,2,,3,9
05286244,10,2023,900180,2,,4,9
05286244,10,2023,900180,2,,5,9
05286244,10,2023,900210,2,,1,166.6667
05286244,10,2023,900210,2,,2,166.6667
05286244,10,2023,900210,2,,3,166.6667
05286244,10,2023,900210,2,,4,166.6667
05286244,10,2023,900210,2,,5,166.6667
05286244,10,2023,980000,2,,1,459
05286244,10,2023,980000,2,,2,459
05286244,10,2023,980000,2,,3,459
05286244,10,2023,980000,2,,4,459
05286244,10,2023,980000,2,,5,459
05286244,10,2023,980071,2,,1,459
05286244,10,2023,980071,2,,2,459
05286244,10,2023,980071,2,,3,459
05286244,10,2023,980071,2,,4,459
05286244,10,2023,980071,2,,5,459
05286244,11,2023,900090,2,,1,133.3333
05286244,11,2023,900090,2,,2,133.3333
05286244,11,2023,900090,2,,3,133.3333
05286244,11,2023,900090,2,,4,133.3333
05286244,11,2023,900090,2,,5,133.3333
05286244,11,2023,900170,2,,1,150
05286244,11,2023,900170,2,,2,150
05286244,11,2023,900170,2,,3,150
05286244,11,2023,900170,2,,4,150
05286244,11,2023,900170,2,,5,150
05286244,11,2023,900180,2,,1,9
05286244,11,2023,900180,2,,2,9
05286244,11,2023,900180,2,,3,9
05286244,11,2023,900180,2,,4,9
05286244,11,2023,900180,2,,5,9
05286244,11,2023,900210,2,,1,166.6667
05286244,11,2023,900210,2,,2,166.6667
05286244,11,2023,900210,2,,3,166.6667
05286244,11,2023,900210,2,,4,166.6667
05286244,11,2023,900210,2,,5,166.6667
05286244,11,2023,980000,2,,1,459
05286244,11,2023,980000,2,,2,459
05286244,11,2023,980000,2,,3,459
05286244,11,2023,980000,2,,4,459
05286244,11,2023,980000,2,,5,459
05286244,11,2023,980071,2,,1,459
05286244,11,2023,980071,2,,2,459
05286244,11,2023,980071,2,,3,459
05286244,11,2023,980071,2,,4,459
05286244,11,2023,980071,2,,5,459
05286244,12,2023,900090,2,,1,133.3333
05286244,12,2023,900090,2,,2,133.3333
05286244,12,2023,900090,2,,3,133.3333
05286244,12,2023,900090,2,,4,133.3333
05286244,12,2023,900090,2,,5,133.3333
05286244,12,2023,900170,2,,1,150
05286244,12,2023,900170,2,,2,150
05286244,12,2023,900170,2,,3,150
05286244,12,2023,900170,2,,4,150
05286244,12,2023,900170,2,,5,150
05286244,12,2023,900180,2,,1,9
05286244,12,2023,900180,2,,2,9
05286244,12,2023,900180,2,,3,9
05286244,12,2023,900180,2,,4,9
05286244,12,2023,900180,2,,5,9
05286244,12,2023,900210,2,,1,166.6667
05286244,12,2023,900210,2,,2,166.6667
05286244,12,2023,900210,2,,3,166.6667
05286244,12,2023,900210,2,,4,166.6667
05286244,12,2023,900210,2,,5,166.6667
05286244,12,2023,980000,2,,1,459
05286244,12,2023,980000,2,,2,459
05286244,12,2023,980000,2,,3,459
05286244,12,2023,980000,2,,4,459
05286244,12,2023,980000,2,,5,459
05286244,12,2023,980071,2,,1,459
05286244,12,2023,980071,2,,2,459
05286244,12,2023,980071,2,,3,459
05286244,12,2023,980071,2,,4,459
05286244,12,2023,980071,2,,5,459
05286294,10,2023,800940,2,,1,1380.5
05286294,10,2023,800940,2,,2,1380.5
05286294,10,2023,800940,2,,3,1380.5
05286294,10,2023,800940,2,,4,1380.5
05286294,10,2023,800940,2,,5,1380.5
05286294,10,2023,900000,2,,1,20166.6667
05286294,10,2023,900000,2,,2,20166.6667
05286294,10,2023,900000,2,,3,20166.6667
05286294,10,2023,900000,2,,4,20166.6667
05286294,10,2023,900000,2,,5,20166.6667
05286294,10,2023,900180,2,,1,375
05286294,10,2023,900180,2,,2,375
05286294,10,2023,900180,2,,3,375
05286294,10,2023,900180,2,,4,375
05286294,10,2023,900180,2,,5,375
05286294,10,2023,980000,2,,1,20541.6667
05286294,10,2023,980000,2,,2,20541.6667
05286294,10,2023,980000,2,,3,20541.6667
05286294,10,2023,980000,2,,4,20541.6667
05286294,10,2023,980000,2,,5,20541.6667
05286294,10,2023,980071,2,,1,16394.833333
05286294,10,2023,980071,2,,2,16394.833333
05286294,10,2023,980071,2,,3,16394.833333
05286294,10,2023,980071,2,,4,16394.833333
05286294,10,2023,980071,2,,5,16394.833333
05286294,11,2023,800940,2,,1,1380.5
05286294,11,2023,800940,2,,2,1380.5
05286294,11,2023,800940,2,,3,1380.5
05286294,11,2023,800940,2,,4,1380.5
05286294,11,2023,800940,2,,5,1380.5
05286294,11,2023,900000,2,,1,20166.6667
