NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_,IMPNUM
05537984,04,2024,900090,2,942.0000,,1
05537984,04,2024,900090,2,942.0000,,2
05537984,04,2024,900090,2,942.0000,,3
05537984,04,2024,900090,2,942.0000,,4
05537984,04,2024,900090,2,942.0000,,5
05537984,05,2024,900090,2,942.0000,,1
05537984,05,2024,900090,2,942.0000,,2
05537984,05,2024,900090,2,942.0000,,3
05537984,05,2024,900090,2,942.0000,,4
05537984,05,2024,900090,2,942.0000,,5
05537984,06,2024,900090,2,942.0000,,1
05537984,06,2024,900090,2,942.0000,,2
05537984,06,2024,900090,2,942.0000,,3
05537984,06,2024,900090,2,942.0000,,4
05537984,06,2024,900090,2,942.0000,,5
05537984,04,2024,900150,2,150.0000,,1
05537984,04,2024,900150,2,150.0000,,2
05537984,04,2024,900150,2,150.0000,,3
05537984,04,2024,900150,2,150.0000,,4
05537984,04,2024,900150,2,150.0000,,5
05537984,05,2024,900150,2,150.0000,,1
05537984,05,2024,900150,2,150.0000,,2
05537984,05,2024,900150,2,150.0000,,3
05537984,05,2024,900150,2,150.0000,,4
05537984,05,2024,900150,2,150.0000,,5
05537984,06,2024,900150,2,150.0000,,1
05537984,06,2024,900150,2,150.0000,,2
05537984,06,2024,900150,2,150.0000,,3
05537984,06,2024,900150,2,150.0000,,4
05537984,06,2024,900150,2,150.0000,,5
05537984,04,2024,980000,2,1092.0000,,1
05537984,04,2024,980000,2,1092.0000,,2
05537984,04,2024,980000,2,1092.0000,,3
05537984,04,2024,980000,2,1092.0000,,4
05537984,04,2024,980000,2,1092.0000,,5
05537984,05,2024,980000,2,1092.0000,,1
05537984,05,2024,980000,2,1092.0000,,2
05537984,05,2024,980000,2,1092.0000,,3
05537984,05,2024,980000,2,1092.0000,,4
05537984,05,2024,980000,2,1092.0000,,5
05537984,06,2024,980000,2,1092.0000,,1
05537984,06,2024,980000,2,1092.0000,,2
05537984,06,2024,980000,2,1092.0000,,3
05537984,06,2024,980000,2,1092.0000,,4
05537984,06,2024,980000,2,1092.0000,,5
05537984,04,2024,980071,1,1092.0000,,1
05537984,04,2024,980071,1,1092.0000,,2
05537984,04,2024,980071,1,1092.0000,,3
05537984,04,2024,980071,1,1092.0000,,4
05537984,04,2024,980071,1,1092.0000,,5
05537984,05,2024,980071,1,1092.0000,,1
05537984,05,2024,980071,1,1092.0000,,2
05537984,05,2024,980071,1,1092.0000,,3
05537984,05,2024,980071,1,1092.0000,,4
05537984,05,2024,980071,1,1092.0000,,5
05537984,06,2024,980071,1,1092.0000,,1
05537984,06,2024,980071,1,1092.0000,,2
05537984,06,2024,980071,1,1092.0000,,3
05537984,06,2024,980071,1,1092.0000,,4
05537984,06,2024,980071,1,1092.0000,,5
05538004,04,2024,800940,2,314.4167,,1
05538004,04,2024,800940,2,293.5833,,2
05538004,04,2024,800940,2,265.0000,,3
05538004,04,2024,800940,2,275.1667,,4
05538004,04,2024,800940,2,259.7500,,5
05538004,05,2024,800940,2,314.4167,,1
05538004,05,2024,800940,2,293.5833,,2
05538004,05,2024,800940,2,265.0000,,3
05538004,05,2024,800940,2,275.1667,,4
05538004,05,2024,800940,2,259.7500,,5
05538004,06,2024,800940,2,314.4167,,1
05538004,06,2024,800940,2,293.5833,,2
05538004,06,2024,800940,2,265.0000,,3
05538004,06,2024,800940,2,275.1667,,4
05538004,06,2024,800940,2,259.7500,,5
05538004,04,2024,900000,2,4109.6667,,1
05538004,04,2024,900000,2,3838.0833,,2
05538004,04,2024,900000,2,3463.9167,,3
05538004,04,2024,900000,2,3597.3333,,4
05538004,04,2024,900000,2,3395.7500,,5
05538004,05,2024,900000,2,4109.6667,,1
05538004,05,2024,900000,2,3838.0833,,2
05538004,05,2024,900000,2,3463.9167,,3
05538004,05,2024,900000,2,3597.3333,,4
05538004,05,2024,900000,2,3395.7500,,5
05538004,06,2024,900000,2,4109.6667,,1
05538004,06,2024,900000,2,3838.0833,,2
05538004,06,2024,900000,2,3463.9167,,3
05538004,06,2024,900000,2,3597.3333,,4
05538004,06,2024,900000,2,3395.7500,,5
05538004,04,2024,980000,2,4109.6667,,1
05538004,04,2024,980000,2,3838.0833,,2
05538004,04,2024,980000,2,3463.9167,,3
05538004,04,2024,980000,2,3597.3333,,4
05538004,04,2024,980000,2,3395.7500,,5
05538004,05,2024,980000,2,4109.6667,,1
05538004,05,2024,980000,2,3838.0833,,2
05538004,05,2024,980000,2,3463.9167,,3
05538004,05,2024,980000,2,3597.3333,,4
05538004,05,2024,980000,2,3395.7500,,5
05538004,06,2024,980000,2,4109.6667,,1
05538004,06,2024,980000,2,3838.0833,,2
05538004,06,2024,980000,2,3463.9167,,3
05538004,06,2024,980000,2,3597.3333,,4
05538004,06,2024,980000,2,3395.7500,,5
05538004,04,2024,980071,1,4109.6667,,1
05538004,04,2024,980071,1,3838.0833,,2
05538004,04,2024,980071,1,3463.9167,,3
05538004,04,2024,980071,1,3597.3333,,4
05538004,04,2024,980071,1,3395.7500,,5
05538004,05,2024,980071,1,4109.6667,,1
05538004,05,2024,980071,1,3838.0833,,2
05538004,05,2024,980071,1,3463.9167,,3
05538004,05,2024,980071,1,3597.3333,,4
05538004,05,2024,980071,1,3395.7500,,5
05538004,06,2024,980071,1,4109.6667,,1
05538004,06,2024,980071,1,3838.0833,,2
05538004,06,2024,980071,1,3463.9167,,3
05538004,06,2024,980071,1,3597.3333,,4
05538004,06,2024,980071,1,3395.7500,,5
05538034,04,2024,800940,2,1819.9386,T,1
05538034,04,2024,800940,2,1819.9386,T,2
05538034,04,2024,800940,2,1819.9386,T,3
05538034,04,2024,800940,2,1819.9386,T,4
05538034,04,2024,800940,2,1819.9386,T,5
05538034,05,2024,800940,2,1819.9386,T,1
05538034,05,2024,800940,2,1819.9386,T,2
05538034,05,2024,800940,2,1819.9386,T,3
05538034,05,2024,800940,2,1819.9386,T,4
05538034,05,2024,800940,2,1819.9386,T,5
05538034,06,2024,800940,2,1819.9386,T,1
05538034,06,2024,800940,2,1819.9386,T,2
05538034,06,2024,800940,2,1819.9386,T,3
05538034,06,2024,800940,2,1819.9386,T,4
05538034,06,2024,800940,2,1819.9386,T,5
05538034,04,2024,900000,2,30719.0020,T,1
05538034,04,2024,900000,2,30719.0020,T,2
05538034,04,2024,900000,2,30719.0020,T,3
05538034,04,2024,900000,2,30719.0020,T,4
05538034,04,2024,900000,2,30719.0020,T,5
05538034,05,2024,900000,2,30719.0020,T,1
05538034,05,2024,900000,2,30719.0020,T,2
05538034,05,2024,900000,2,30719.0020,T,3
05538034,05,2024,900000,2,30719.0020,T,4
05538034,05,2024,900000,2,30719.0020,T,5
05538034,06,2024,900000,2,30719.0020,T,1
05538034,06,2024,900000,2,30719.0020,T,2
05538034,06,2024,900000,2,30719.0020,T,3
05538034,06,2024,900000,2,30719.0020,T,4
05538034,06,2024,900000,2,30719.0020,T,5
05538034,04,2024,980000,2,30719.0020,T,1
05538034,04,2024,980000,2,30719.0020,T,2
05538034,04,2024,980000,2,30719.0020,T,3
05538034,04,2024,980000,2,30719.0020,T,4
05538034,04,2024,980000,2,30719.0020,T,5
05538034,05,2024,980000,2,30719.0020,T,1
05538034,05,2024,980000,2,30719.0020,T,2
05538034,05,2024,980000,2,30719.0020,T,3
05538034,05,2024,980000,2,30719.0020,T,4
05538034,05,2024,980000,2,30719.0020,T,5
05538034,06,2024,980000,2,30719.0020,T,1
05538034,06,2024,980000,2,30719.0020,T,2
05538034,06,2024,980000,2,30719.0020,T,3
05538034,06,2024,980000,2,30719.0020,T,4
05538034,06,2024,980000,2,30719.0020,T,5
05538034,04,2024,980071,1,30719.0020,T,1
05538034,04,2024,980071,1,30719.0020,T,2
05538034,04,2024,980071,1,30719.0020,T,3
05538034,04,2024,980071,1,30719.0020,T,4
05538034,04,2024,980071,1,30719.0020,T,5
05538034,05,2024,980071,1,30719.0020,T,1
05538034,05,2024,980071,1,30719.0020,T,2
05538034,05,2024,980071,1,30719.0020,T,3
05538034,05,2024,980071,1,30719.0020,T,4
05538034,05,2024,980071,1,30719.0020,T,5
05538034,06,2024,980071,1,30719.0020,T,1
05538034,06,2024,980071,1,30719.0020,T,2
05538034,06,2024,980071,1,30719.0020,T,3
05538034,06,2024,980071,1,30719.0020,T,4
05538034,06,2024,980071,1,30719.0020,T,5
05538054,04,2024,800940,2,53.1667,,1
05538054,04,2024,800940,2,67.7500,,2
05538054,04,2024,800940,2,38.9167,,3
05538054,04,2024,800940,2,344.8333,,4
05538054,04,2024,800940,2,302.9167,,5
05538054,05,2024,800940,2,53.1667,,1
05538054,05,2024,800940,2,67.7500,,2
05538054,05,2024,800940,2,38.9167,,3
05538054,05,2024,800940,2,344.8333,,4
05538054,05,2024,800940,2,302.9167,,5
05538054,06,2024,800940,2,53.1667,,1
05538054,06,2024,800940,2,67.7500,,2
05538054,06,2024,800940,2,38.9167,,3
05538054,06,2024,800940,2,344.8333,,4
05538054,06,2024,800940,2,302.9167,,5
05538054,04,2024,900000,2,695.6667,,1
05538054,04,2024,900000,2,885.6667,,2
05538054,04,2024,900000,2,508.7500,,3
05538054,04,2024,900000,2,4507.1667,,4
05538054,04,2024,900000,2,3960.4167,,5
05538054,05,2024,900000,2,695.6667,,1
05538054,05,2024,900000,2,885.6667,,2
05538054,05,2024,900000,2,508.7500,,3
05538054,05,2024,900000,2,4507.1667,,4
05538054,05,2024,900000,2,3960.4167,,5
05538054,06,2024,900000,2,695.6667,,1
05538054,06,2024,900000,2,885.6667,,2
05538054,06,2024,900000,2,508.7500,,3
05538054,06,2024,900000,2,4507.1667,,4
05538054,06,2024,900000,2,3960.4167,,5
05538054,04,2024,980000,2,695.6667,,1
05538054,04,2024,980000,2,885.6667,,2
05538054,04,2024,980000,2,508.7500,,3
05538054,04,2024,980000,2,4507.1667,,4
05538054,04,2024,980000,2,3960.4167,,5
05538054,05,2024,980000,2,695.6667,,1
05538054,05,2024,980000,2,885.6667,,2
05538054,05,2024,980000,2,508.7500,,3
05538054,05,2024,980000,2,4507.1667,,4
05538054,05,2024,980000,2,3960.4167,,5
05538054,06,2024,980000,2,695.6667,,1
05538054,06,2024,980000,2,885.6667,,2
05538054,06,2024,980000,2,508.7500,,3
05538054,06,2024,980000,2,4507.1667,,4
05538054,06,2024,980000,2,3960.4167,,5
05538054,04,2024,980071,1,695.6667,,1
05538054,04,2024,980071,1,885.6667,,2
05538054,04,2024,980071,1,508.7500,,3
05538054,04,2024,980071,1,4507.1667,,4
05538054,04,2024,980071,1,3960.4167,,5
05538054,05,2024,980071,1,695.6667,,1
05538054,05,2024,980071,1,885.6667,,2
05538054,05,2024,980071,1,508.7500,,3
05538054,05,2024,980071,1,4507.1667,,4
05538054,05,2024,980071,1,3960.4167,,5
05538054,06,2024,980071,1,695.6667,,1
05538054,06,2024,980071,1,885.6667,,2
05538054,06,2024,980071,1,508.7500,,3
05538054,06,2024,980071,1,4507.1667,,4
05538054,06,2024,980071,1,3960.4167,,5
05538094,04,2024,800940,2,318.7500,,1
05538094,04,2024,800940,2,318.7500,,2
05538094,04,2024,800940,2,318.7500,,3
05538094,04,2024,800940,2,318.7500,,4
05538094,04,2024,800940,2,318.7500,,5
05538094,05,2024,800940,2,318.7500,,1
05538094,05,2024,800940,2,318.7500,,2
05538094,05,2024,800940,2,318.7500,,3
05538094,05,2024,800940,2,318.7500,,4
05538094,05,2024,800940,2,318.7500,,5
05538094,06,2024,800940,2,318.7500,,1
05538094,06,2024,800940,2,318.7500,,2
05538094,06,2024,800940,2,318.7500,,3
05538094,06,2024,800940,2,318.7500,,4
05538094,06,2024,800940,2,318.7500,,5
05538094,04,2024,900000,2,4166.6667,,1
05538094,04,2024,900000,2,4166.6667,,2
05538094,04,2024,900000,2,4166.6667,,3
05538094,04,2024,900000,2,4166.6667,,4
05538094,04,2024,900000,2,4166.6667,,5
05538094,05,2024,900000,2,4166.6667,,1
05538094,05,2024,900000,2,4166.6667,,2
05538094,05,2024,900000,2,4166.6667,,3
05538094,05,2024,900000,2,4166.6667,,4
05538094,05,2024,900000,2,4166.6667,,5
05538094,06,2024,900000,2,4166.6667,,1
05538094,06,2024,900000,2,4166.6667,,2
05538094,06,2024,900000,2,4166.6667,,3
05538094,06,2024,900000,2,4166.6667,,4
05538094,06,2024,900000,2,4166.6667,,5
05538094,04,2024,980000,2,4166.6667,,1
05538094,04,2024,980000,2,4166.6667,,2
05538094,04,2024,980000,2,4166.6667,,3
05538094,04,2024,980000,2,4166.6667,,4
05538094,04,2024,980000,2,4166.6667,,5
05538094,05,2024,980000,2,4166.6667,,1
05538094,05,2024,980000,2,4166.6667,,2
05538094,05,2024,980000,2,4166.6667,,3
05538094,05,2024,980000,2,4166.6667,,4
05538094,05,2024,980000,2,4166.6667,,5
05538094,06,2024,980000,2,4166.6667,,1
05538094,06,2024,980000,2,4166.6667,,2
05538094,06,2024,980000,2,4166.6667,,3
05538094,06,2024,980000,2,4166.6667,,4
05538094,06,2024,980000,2,4166.6667,,5
05538094,04,2024,980071,1,4161.6667,,1
05538094,04,2024,980071,1,4161.6667,,2
05538094,04,2024,980071,1,4161.6667,,3
05538094,04,2024,980071,1,4161.6667,,4
05538094,04,2024,980071,1,4161.6667,,5
05538094,05,2024,980071,1,4161.6667,,1
05538094,05,2024,980071,1,4161.6667,,2
05538094,05,2024,980071,1,4161.6667,,3
05538094,05,2024,980071,1,4161.6667,,4
05538094,05,2024,980071,1,4161.6667,,5
05538094,06,2024,980071,1,4161.6667,,1
05538094,06,2024,980071,1,4161.6667,,2
05538094,06,2024,980071,1,4161.6667,,3
05538094,06,2024,980071,1,4161.6667,,4
05538094,06,2024,980071,1,4161.6667,,5
05538174,04,2024,800940,2,680.0833,,1
05538174,04,2024,800940,2,739.3333,,2
05538174,04,2024,800940,2,678.5833,,3
05538174,04,2024,800940,2,724.7500,,4
05538174,04,2024,800940,2,686.6667,,5
05538174,05,2024,800940,2,680.0833,,1
05538174,05,2024,800940,2,739.3333,,2
05538174,05,2024,800940,2,678.5833,,3
05538174,05,2024,800940,2,724.7500,,4
05538174,05,2024,800940,2,686.6667,,5
05538174,06,2024,800940,2,680.0833,,1
05538174,06,2024,800940,2,739.3333,,2
05538174,06,2024,800940,2,678.5833,,3
05538174,06,2024,800940,2,724.7500,,4
05538174,06,2024,800940,2,686.6667,,5
05538174,04,2024,900000,2,8889.8333,,1
05538174,04,2024,900000,2,9664.1667,,2
05538174,04,2024,900000,2,8870.3333,,3
05538174,04,2024,900000,2,9473.6667,,4
05538174,04,2024,900000,2,8975.5833,,5
05538174,05,2024,900000,2,8889.8333,,1
05538174,05,2024,900000,2,9664.1667,,2
05538174,05,2024,900000,2,8870.3333,,3
05538174,05,2024,900000,2,9473.6667,,4
05538174,05,2024,900000,2,8975.5833,,5
05538174,06,2024,900000,2,8889.8333,,1
05538174,06,2024,900000,2,9664.1667,,2
05538174,06,2024,900000,2,8870.3333,,3
05538174,06,2024,900000,2,9473.6667,,4
05538174,06,2024,900000,2,8975.5833,,5
05538174,04,2024,980000,2,8889.8333,,1
05538174,04,2024,980000,2,9664.1667,,2
05538174,04,2024,980000,2,8870.3333,,3
05538174,04,2024,980000,2,9473.6667,,4
05538174,04,2024,980000,2,8975.5833,,5
05538174,05,2024,980000,2,8889.8333,,1
05538174,05,2024,980000,2,9664.1667,,2
05538174,05,2024,980000,2,8870.3333,,3
05538174,05,2024,980000,2,9473.6667,,4
05538174,05,2024,980000,2,8975.5833,,5
05538174,06,2024,980000,2,8889.8333,,1
05538174,06,2024,980000,2,9664.1667,,2
05538174,06,2024,980000,2,8870.3333,,3
05538174,06,2024,980000,2,9473.6667,,4
05538174,06,2024,980000,2,8975.5833,,5
05538174,04,2024,980071,1,8889.8333,,1
05538174,04,2024,980071,1,9664.1667,,2
05538174,04,2024,980071,1,8870.3333,,3
05538174,04,2024,980071,1,9473.6667,,4
05538174,04,2024,980071,1,8975.5833,,5
05538174,05,2024,980071,1,8889.8333,,1
05538174,05,2024,980071,1,9664.1667,,2
05538174,05,2024,980071,1,8870.3333,,3
05538174,05,2024,980071,1,9473.6667,,4
05538174,05,2024,980071,1,8975.5833,,5
05538174,06,2024,980071,1,8889.8333,,1
05538174,06,2024,980071,1,9664.1667,,2
05538174,06,2024,980071,1,8870.3333,,3
05538174,06,2024,980071,1,9473.6667,,4
05538174,06,2024,980071,1,8975.5833,,5
05538184,04,2024,800940,2,765.0000,,1
05538184,04,2024,800940,2,765.0000,,2
05538184,04,2024,800940,2,765.0000,,3
05538184,04,2024,800940,2,765.0000,,4
05538184,04,2024,800940,2,765.0000,,5
05538184,05,2024,800940,2,765.0000,,1
05538184,05,2024,800940,2,765.0000,,2
05538184,05,2024,800940,2,765.0000,,3
05538184,05,2024,800940,2,765.0000,,4
05538184,05,2024,800940,2,765.0000,,5
05538184,06,2024,800940,2,765.0000,,1
05538184,06,2024,800940,2,765.0000,,2
05538184,06,2024,800940,2,765.0000,,3
05538184,06,2024,800940,2,765.0000,,4
05538184,06,2024,800940,2,765.0000,,5
05538184,04,2024,900000,2,10000.0000,,1
05538184,04,2024,900000,2,10000.0000,,2
05538184,04,2024,900000,2,10000.0000,,3
05538184,04,2024,900000,2,10000.0000,,4
05538184,04,2024,900000,2,10000.0000,,5
05538184,05,2024,900000,2,10000.0000,,1
05538184,05,2024,900000,2,10000.0000,,2
05538184,05,2024,900000,2,10000.0000,,3
05538184,05,2024,900000,2,10000.0000,,4
05538184,05,2024,900000,2,10000.0000,,5
05538184,06,2024,900000,2,10000.0000,,1
05538184,06,2024,900000,2,10000.0000,,2
05538184,06,2024,900000,2,10000.0000,,3
05538184,06,2024,900000,2,10000.0000,,4
05538184,06,2024,900000,2,10000.0000,,5
05538184,04,2024,900180,2,152.9167,,1
05538184,04,2024,900180,2,153.8333,,2
05538184,04,2024,900180,2,112.2500,,3
05538184,04,2024,900180,2,132.5833,,4
05538184,04,2024,900180,2,104.4167,,5
05538184,05,2024,900180,2,152.9167,,1
05538184,05,2024,900180,2,153.8333,,2
05538184,05,2024,900180,2,112.2500,,3
05538184,05,2024,900180,2,132.5833,,4
05538184,05,2024,900180,2,104.4167,,5
05538184,06,2024,900180,2,152.9167,,1
05538184,06,2024,900180,2,153.8333,,2
05538184,06,2024,900180,2,112.2500,,3
05538184,06,2024,900180,2,132.5833,,4
05538184,06,2024,900180,2,104.4167,,5
05538184,04,2024,980000,2,10152.9167,,1
05538184,04,2024,980000,2,10153.8333,,2
05538184,04,2024,980000,2,10112.2500,,3
05538184,04,2024,980000,2,10132.5833,,4
05538184,04,2024,980000,2,10104.4167,,5
05538184,05,2024,980000,2,10152.9167,,1
05538184,05,2024,980000,2,10153.8333,,2
05538184,05,2024,980000,2,10112.2500,,3
05538184,05,2024,980000,2,10132.5833,,4
05538184,05,2024,980000,2,10104.4167,,5
05538184,06,2024,980000,2,10152.9167,,1
05538184,06,2024,980000,2,10153.8333,,2
05538184,06,2024,980000,2,10112.2500,,3
05538184,06,2024,980000,2,10132.5833,,4
05538184,06,2024,980000,2,10104.4167,,5
05538184,04,2024,980071,1,10152.9167,,1
05538184,04,2024,980071,1,10153.8333,,2
05538184,04,2024,980071,1,10112.2500,,3
05538184,04,2024,980071,1,10132.5833,,4
05538184,04,2024,980071,1,10104.4167,,5
05538184,05,2024,980071,1,10152.9167,,1
05538184,05,2024,980071,1,10153.8333,,2
05538184,05,2024,980071,1,10112.2500,,3
05538184,05,2024,980071,1,10132.5833,,4
05538184,05,2024,980071,1,10104.4167,,5
05538184,06,2024,980071,1,10152.9167,,1
05538184,06,2024,980071,1,10153.8333,,2
05538184,06,2024,980071,1,10112.2500,,3
05538184,06,2024,980071,1,10132.5833,,4
05538184,06,2024,980071,1,10104.4167,,5
05538194,04,2024,800940,2,159.4167,,1
05538194,04,2024,800940,2,159.4167,,2
05538194,04,2024,800940,2,159.4167,,3
05538194,04,2024,800940,2,159.4167,,4
05538194,04,2024,800940,2,159.4167,,5
05538194,05,2024,800940,2,159.4167,,1
05538194,05,2024,800940,2,159.4167,,2
05538194,05,2024,800940,2,159.4167,,3
05538194,05,2024,800940,2,159.4167,,4
05538194,05,2024,800940,2,159.4167,,5
05538194,06,2024,800940,2,159.4167,,1
05538194,06,2024,800940,2,159.4167,,2
05538194,06,2024,800940,2,159.4167,,3
05538194,06,2024,800940,2,159.4167,,4
05538194,06,2024,800940,2,159.4167,,5
05538194,04,2024,900000,2,2083.3333,,1
05538194,04,2024,900000,2,2083.3333,,2
05538194,04,2024,900000,2,2083.3333,,3
05538194,04,2024,900000,2,2083.3333,,4
05538194,04,2024,900000,2,2083.3333,,5
05538194,05,2024,900000,2,2083.3333,,1
05538194,05,2024,900000,2,2083.3333,,2
05538194,05,2024,900000,2,2083.3333,,3
05538194,05,2024,900000,2,2083.3333,,4
05538194,05,2024,900000,2,2083.3333,,5
05538194,06,2024,900000,2,2083.3333,,1
05538194,06,2024,900000,2,2083.3333,,2
05538194,06,2024,900000,2,2083.3333,,3
05538194,06,2024,900000,2,2083.3333,,4
05538194,06,2024,900000,2,2083.3333,,5
05538194,04,2024,900170,2,2000.0000,,1
05538194,04,2024,900170,2,2000.0000,,2
05538194,04,2024,900170,2,2000.0000,,3
05538194,04,2024,900170,2,2000.0000,,4
05538194,04,2024,900170,2,2000.0000,,5
05538194,05,2024,900170,2,2000.0000,,1
05538194,05,2024,900170,2,2000.0000,,2
05538194,05,2024,900170,2,2000.0000,,3
05538194,05,2024,900170,2,2000.0000,,4
05538194,05,2024,900170,2,2000.0000,,5
05538194,06,2024,900170,2,2000.0000,,1
05538194,06,2024,900170,2,2000.0000,,2
05538194,06,2024,900170,2,2000.0000,,3
05538194,06,2024,900170,2,2000.0000,,4
05538194,06,2024,900170,2,2000.0000,,5
05538194,04,2024,980000,2,4083.3333,,1
05538194,04,2024,980000,2,4083.3333,,2
05538194,04,2024,980000,2,4083.3333,,3
05538194,04,2024,980000,2,4083.3333,,4
05538194,04,2024,980000,2,4083.3333,,5
05538194,05,2024,980000,2,4083.3333,,1
05538194,05,2024,980000,2,4083.3333,,2
05538194,05,2024,980000,2,4083.3333,,3
05538194,05,2024,980000,2,4083.3333,,4
05538194,05,2024,980000,2,4083.3333,,5
05538194,06,2024,980000,2,4083.3333,,1
05538194,06,2024,980000,2,4083.3333,,2
05538194,06,2024,980000,2,4083.3333,,3
05538194,06,2024,980000,2,4083.3333,,4
05538194,06,2024,980000,2,4083.3333,,5
05538194,04,2024,980071,1,4081.5833,,1
05538194,04,2024,980071,1,4081.5833,,2
05538194,04,2024,980071,1,4081.5833,,3
05538194,04,2024,980071,1,4081.5833,,4
05538194,04,2024,980071,1,4081.5833,,5
05538194,05,2024,980071,1,4081.5833,,1
05538194,05,2024,980071,1,4081.5833,,2
05538194,05,2024,980071,1,4081.5833,,3
05538194,05,2024,980071,1,4081.5833,,4
05538194,05,2024,980071,1,4081.5833,,5
05538194,06,2024,980071,1,4081.5833,,1
05538194,06,2024,980071,1,4081.5833,,2
05538194,06,2024,980071,1,4081.5833,,3
05538194,06,2024,980071,1,4081.5833,,4
05538194,06,2024,980071,1,4081.5833,,5
05538274,04,2024,800940,2,495.0000,,1
05538274,04,2024,800940,2,391.0000,,2
05538274,04,2024,800940,2,306.5833,,3
05538274,04,2024,800940,2,691.5833,,4
05538274,04,2024,800940,2,581.9167,,5
05538274,05,2024,800940,2,495.0000,,1
05538274,05,2024,800940,2,391.0000,,2
05538274,05,2024,800940,2,306.5833,,3
