QYEAR,NEWID,OUTCOME,HSG_UNIT,CONVREF,TELPV,HOW_INTV,SNGL_INT,TELSCT01,TELSCT02,TELSCT03,TELSCT04,TELSCT05,TELSCT06,TELSCT07,TELSCT08,TELSCT09,TELSCT10,TEL_RESN,INFOBOOK,LANGUAGE,RESPON,RECORDS,TYPEREC1,TYPEREC2,TYPEREC3,TYPEREC4,TYPEREC5,TYPEREC6,TYPEREC7,TYPEREC8,TYPEREC9,SECTNO,GENINTRO,EXPNSUM,NUMEXPN,NUMDK,NUMRF,SECT_01,SECT_02,SECT_03,SECT_04,SECT_05,SECT_06,SECT_07,SECT_08,SECT_09,SECT_10,SECT_11,SECT_12,SECT_13,SECT_14,SECT_15,SECT_16,SECT_17,SECT_18,SECT_19,SECT_20,SECT_21,SECT_22,BACK,FRONT,COVERAGE,CONTROL,TOT_TIME,CUID
20231,05011064,201,01,2,,6,2,,,,,,,,,,,4,5,1,1,4,,,,,,,,,,22,1,2650,22,8,0,0,0,267,289,111,138,44,238,126,58,339,176,161,75,9,128,80,121,180,369,515,101,158,487,0,76,4246,501106
20231,05011084,216,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,40,57,0,131,501108
20231,05011094,216,01,,1,,,,,,,,,,,,,,5,1,1,4,,,,,,,,,,21,1,,0,9,0,55,59,219,101,52,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,449,62,179,1505,501109
20231,05011124,216,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,25,20,0,107,501112
20231,05011134,201,01,2,,6,1,,,,,,,,,,,5,5,1,1,4,,,,,,,,,,22,1,3114,27,0,0,0,0,44,182,37,21,4,16,13,8,17,85,1019,22,3,25,7,20,38,113,128,128,52,12,0,47,2041,501113
20231,05011154,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37,24,0,88,501115
20231,05011214,321,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,24,0,56,501121
20231,05011224,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,48,0,68,501122
20231,05011234,322,01,,2,,,,,,,,,,,,,,5,1,1,4,,,,,,,,,,21,1,1627,2,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,121,80,17,1110,501123
20231,05011244,201,01,2,,1,1,,,,,,,,,,,,1,1,2,1,,,3,,,,,,,22,1,12158,53,0,0,0,0,101,231,72,216,44,45,66,18,197,218,76,155,20,333,193,213,153,526,730,457,263,54,0,31,4412,501124
20231,05011264,216,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,2412,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,28,49,0,111,501126
20231,05011274,321,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,569,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,34,0,76,501127
20231,05011294,324,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,60,0,126,501129
20231,05011314,201,01,2,,1,1,,,,,,,,,,,,5,1,1,4,,,,,,,,,,22,1,5706,44,2,0,0,0,194,396,172,278,70,155,78,20,1275,189,137,203,20,111,335,93,287,541,206,337,1026,1526,0,40,7689,501131
20231,05011334,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,3,,2,,,,,,,,22,1,44084,43,3,0,0,0,255,240,90,274,27,169,45,150,204,116,69,82,6,81,196,73,150,310,254,223,261,52,0,48,3375,501133
20231,05011344,322,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,1,9650,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,209,30,0,302,501134
20231,05011364,201,01,2,,6,1,,,,,,,,,,,7,5,1,2,3,1,,,,,,,,,22,1,9598,32,4,0,0,0,437,533,65,47,51,57,39,314,288,235,299,279,42,22,28,36,40,425,465,211,371,186,0,83,4553,501136
20231,05011394,201,01,2,,6,1,,,,,,,,,,,4,5,1,1,4,,,,,,,,,,22,1,3627,21,0,0,0,74,18,251,377,500,86,451,114,67,348,287,124,23,150,436,132,99,318,298,523,58,176,159,0,119,5188,501139
20231,05011414,321,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,105,464,0,615,501141
20231,05011424,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,230,0,262,501142
20231,05011434,324,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,4126,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,6,39,0,83,501143
20231,05011454,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,4,,,,,,,,,,22,1,5650,30,0,0,0,0,163,872,120,40,9,25,22,18,75,50,116,43,15,23,315,37,167,191,99,60,112,1415,0,292,4279,501145
20231,05011464,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,99,142,0,294,501146
20231,05011474,201,01,2,,1,1,,,,,,,,,,,,4,1,1,4,,,,,,,,,,22,1,8045,25,0,0,472,157,1514,423,116,188,67,173,63,589,368,313,218,234,35,94,92,75,118,320,448,126,243,625,93,1130,8294,501147
20231,05011484,201,05,2,,6,1,,,,,,,,,,,7,1,1,1,3,,2,,,,,,,,22,1,6880,38,0,0,0,0,744,145,516,142,106,152,35,36,521,397,249,301,15,158,47,54,393,428,588,358,798,95,0,586,6864,501148
20231,05011494,324,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,388,40,0,467,501149
20231,05011504,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,1,1,,,,,,,,,22,1,9704,38,0,0,0,136,13,248,20,268,15,76,23,11,265,126,75,166,70,511,84,200,220,510,516,407,306,113,0,37,4416,501150
20231,05011514,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,4,,,,,,,,,,22,1,31985,25,2,0,0,0,63,136,209,68,8,177,111,88,224,34,75,27,16,44,313,18,145,146,156,135,51,20,0,22,2286,501151
20231,05011524,201,01,2,,6,2,,,,,,,,,,,7,1,1,1,4,,,,,,,,,,22,1,6537,44,0,0,0,219,12,152,79,186,25,96,26,85,161,27,129,72,21,220,302,84,84,417,364,166,302,525,0,24,3778,501152
20231,05011534,323,05,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,34,0,51,501153
20231,05011544,322,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,118,12,0,134,501154
20231,05011554,324,01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,66,0,92,501155
20231,05011564,201,01,2,,6,2,,,,,,,,,,,7,5,1,1,4,,,,,,,,,,22,1,27076,40,8,0,0,0,267,400,30,112,40,121,10,23,125,15,471,42,214,518,16,139,346,339,264,693,566,119,0,33,4903,501156
20231,05011584,217,09,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,01,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,0,54,501158
20231,05011604,216,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,730,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,12,68,0,128,501160
20231,05011624,201,01,2,,1,1,,,,,,,,,,,,2,1,1,4,,,,,,,,,,22,1,3588,41,0,0,0,0,109,298,43,194,31,530,31,31,245,189,153,98,17,212,51,96,515,527,190,230,618,369,0,29,4806,501162
20231,05011634,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,3,,,3,,,,,,,22,2,20688,52,0,0,0,0,93,185,51,283,9,175,18,13,208,43,96,48,48,279,181,50,160,286,185,84,171,1469,0,17,4152,501163
20231,05011664,201,01,2,,6,1,,,,,,,,,,,5,5,1,1,3,,,3,,,,7,8,,22,1,10642,43,0,0,0,0,237,220,160,259,54,243,53,53,405,96,264,130,33,322,724,110,432,672,632,287,747,317,0,98,6548,501166
20231,05011674,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,102,176,0,304,501167
20231,05011684,321,01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,10,0,34,501168
20231,05011694,324,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,13,165,0,264,501169
20231,05011704,216,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,24,0,52,501170
20231,05011724,201,01,2,,6,1,,,,,,,,,,,7,5,1,1,4,,,,,,,,,,22,1,7998,34,0,0,0,52,19,194,28,267,11,131,18,48,545,18,15,88,13,363,867,91,241,280,314,265,1466,353,0,32,5719,501172
20231,05011734,201,01,2,,6,2,,,,,,,,,,,7,5,1,1,2,1,2,3,,,,7,,,22,1,8768,41,4,0,0,143,9,504,48,255,38,74,125,17,218,650,168,131,23,370,222,84,263,527,546,687,419,92,0,174,5787,501173
20231,05011754,324,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,1285,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2586,45,0,2685,501175
20231,05011764,321,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,63,0,97,501176
20231,05011774,216,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,1280,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,329,14,0,376,501177
20231,05011784,324,01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,49,0,94,501178
20231,05011824,217,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,2346,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,161,53,0,244,501182
20231,05011854,321,01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,32,0,57,501185
20231,05011864,201,01,2,,6,1,,,,,,,,,,,7,5,1,2,1,1,,,,,,7,,,22,1,10504,64,2,0,0,0,214,680,159,324,45,577,45,27,516,61,73,173,51,567,851,620,545,597,762,239,279,185,0,56,7646,501186
20231,05011874,322,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,134,52,0,202,501187
20231,05011884,201,01,1,,6,1,,,,,,,,,,,7,5,1,1,4,,,,,,,,,,22,1,8601,30,2,0,0,62,13,261,26,151,9,130,21,18,313,28,30,32,169,219,29,133,312,339,278,145,162,296,0,86,3262,501188
20231,05011904,216,01,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,6155,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,31,17,0,133,501190
20231,05011934,321,01,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,557,31,0,612,501193
20231,05011954,216,01,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,21,,9655,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,12,0,55,501195
20231,05011964,201,01,1,,1,1,,,,,,,,,,,,3,1,1,3,1,2,,,,,7,,,22,1,5085,31,1,0,0,0,76,245,61,134,34,87,22,26,196,88,131,46,33,151,33,70,98,284,210,45,128,157,0,71,2426,501196
